Frequency (Hz),Channel 1 Magnitude (dB),Channel 4 Magnitude (dB),Channel 4 Phase (deg)
10000.00000000001,-0.05104189926534714,-7.515402942067987,-2.671615152655506
10471.28548050901,-0.07628750465992723,-7.569347758689276,-3.061071273962313
10964.78196143186,-0.05715263825713998,-7.555803726272362,-2.41025340094801
11481.53621496884,-0.09849353122544177,-7.566248221012693,-2.837940854246828
12022.64434617414,-0.07436175653596494,-7.561062738804531,-2.597080994109968
12589.25411794169,-0.09172989998180768,-7.584039207706244,-3.024955074756358
13182.56738556409,-0.03536451003368812,-7.493940828504039,-2.982249030612885
13803.84264602887,-0.0614567602185306,-7.561040207332499,-3.209216812572903
14454.39770745929,-0.08744274107149255,-7.595295800803314,-3.430864319387263
15135.61248436209,-0.07758282467859128,-7.560625684081482,-3.77021880325683
15848.93192461114,-0.03704159798572506,-7.519549870103077,-3.607497954509105
16595.86907437561,-0.09961067128642695,-7.606335506570314,-4.414633602270602
17378.00828749376,-0.05065225617580753,-7.549900492471799,-4.167706545739475
18197.00858609984,-0.08687440502788896,-7.621230611622246,-4.377177786463635
19054.60717963248,-0.06400125037672158,-7.564397685967612,-4.33397467892441
19952.62314968881,-0.121074968198298,-7.638791746133533,-5.263096737640587
20892.96130854041,-0.01916519506352591,-7.526319473069943,-4.521676260146095
21877.61623949554,-0.04519884591519704,-7.531123604056736,-5.354748433021059
22908.67652767774,-0.08065011410763227,-7.603203063408074,-5.261960351822373
23988.32919019492,-0.05029009448533481,-7.566007870318206,-5.500188131549096
25118.86431509582,-0.07424649365011313,-7.611074228177261,-5.817996936085621
26302.67991895384,-0.1279790085544302,-7.697166291897321,-6.452462453597643
27542.28703338169,-0.08144594937561622,-7.63214766451567,-6.540291264222538
28840.31503126608,-0.02687847342006449,-7.561369078710888,-6.638594995040235
30199.51720402019,0.008410541698436686,-7.512772658958734,-6.822246117070933
31622.77660168382,-0.0610412644542583,-7.576656502043225,-7.819487372383445
33113.11214825914,-0.08750573501208271,-7.656243907278692,-7.92882429932812
34673.6850452532,-0.08744459271113282,-7.700154451806585,-7.946645079867285
36307.80547701017,-0.03204507772026213,-7.583739848478132,-8.945033940570573
38018.93963205616,-0.06796899454142942,-7.731638182916367,-8.601393044822787
39810.71705534973,-0.08598396975633243,-7.698472667157599,-9.793182271656223
41686.93834703355,-0.1040105083202858,-7.710053264101625,-10.20972751323006
43651.58322401661,-0.06600317557257895,-7.687223030789335,-10.45736193831217
45708.81896148752,-0.08762702055501538,-7.711519641429084,-11.46553342427757
47863.00923226385,-0.05447226667155906,-7.689676864602238,-11.63674590251177
50118.72336272724,-0.1210131575148314,-7.818312378469542,-11.90853659045
52480.74602497728,-0.1011874594307997,-7.804639805449645,-12.69937115131275
54954.08738576248,-0.08245444135676583,-7.819748828750304,-13.17293125344304
57543.99373371572,-0.05771873520468462,-7.770452202914175,-13.41376454552943
60255.95860743582,-0.06557392118650404,-7.824615198728694,-14.18705500132362
63095.73444801936,-0.07409055590676418,-7.90896217585035,-14.70248885617091
66069.34480075965,-0.0823979613294306,-7.971654624804628,-15.41046280073289
69183.09709189369,-0.06630035610762726,-7.927041266782798,-16.33305080663207
72443.59600749906,-0.06584418963727351,-7.988267821573798,-17.16770186879852
75857.75750291844,-0.06581062436537295,-8.027370718915675,-17.58300717780764
79432.82347242821,-0.03860091101438422,-8.018319325040279,-18.32377845832837
83176.37711026717,-0.0201368903700406,-8.084823241391838,-18.81786803445431
87096.35899560816,-0.07875112173448545,-8.238528402306573,-20.18145523889395
91201.08393559106,-0.04931319970036897,-8.167923631260841,-21.02969725931188
95499.25860214369,-0.06017335415354693,-8.23937824945685,-21.98555756884285
