Frequency (Hz),Zin
1000,5410.980536
1047.128548,5413.221738
1096.478196,5413.256376
1148.153621,5416.16783
1202.264435,5420.263314
1258.925412,5419.20504
1318.256739,5422.809288
1380.384265,5424.283278
1445.439771,5426.767212
1513.561248,5429.048634
1584.893192,5432.69172
1659.586907,5434.584778
1737.800829,5437.41041
1819.700859,5438.143904
1905.460718,5440.456406
1995.262315,5442.467074
2089.296131,5446.975892
2187.761624,5449.029396
2290.867653,5449.912412
2398.832919,5452.666756
2511.886432,5455.622334
2630.267992,5458.761888
2754.228703,5458.958422
2884.031503,5461.11214
3019.95172,5464.211216
3162.27766,5467.49294
3311.311215,5468.092224
3467.368505,5471.379
3630.780548,5473.554312
3801.893963,5476.236206
3981.071706,5480.166658
4168.693835,5480.869206
4365.158322,5485.517918
4570.881896,5485.908422
4786.300923,5488.861896
5011.872336,5493.364942
5248.074602,5497.630684
5495.408739,5500.268282
5754.399373,5506.3261
6025.595861,5511.374884
6309.573445,5516.947628
6606.93448,5522.331538
6918.309709,5531.725464
7244.359601,5538.724002
7585.77575,5550.499196
7943.282347,5562.453842
8317.637711,5571.303858
8709.6359,5588.72242
9120.108394,5604.594194
9549.92586,5627.122178
10000,5652.761656
10471.28548,5682.04633
10964.78196,5715.541974
11481.53621,5755.96096
12022.64435,5805.643108
12589.25412,5862.974826
13182.56739,5930.693604
13803.84265,6010.158868
14454.39771,6101.378002
15135.61248,6203.51422
15848.93192,6323.264244
16595.86907,6457.257324
17378.00829,6607.48736
18197.00859,6767.518244
19054.60718,6942.223648
19952.62315,7123.958644
20892.96131,7314.334974
21877.61624,7511.53845
22908.67653,7707.601422
23988.32919,7905.673522
25118.86432,8106.936968
26302.67992,8303.523984
27542.28703,8490.550862
28840.31503,8678.579286
30199.5172,8853.978166
31622.7766,9026.708138
33113.11215,9184.846228
34673.68505,9332.51563
36307.80548,9473.535612
38018.93963,9602.050586
39810.71706,9726.206806
41686.93835,9832.886988
43651.58322,9926.556378
45708.81896,10014.08258
47863.00923,10088.151
50118.72336,10160.87315
52480.74602,10210.78986
54954.08739,10272.20784
57543.99373,10307.59766
60255.95861,10342.95851
63095.73445,10369.62579
66069.3448,10401.03295
69183.09709,10411.65803
72443.59601,10426.51511
75857.7575,10432.83572
79432.82347,10439.23978
83176.37711,10442.38479
87096.359,10450.03392
91201.08394,10445.75735
95499.2586,10449.29318
100000,10440.85948
104712.8548,10441.58746
109647.8196,10454.42999
114815.3621,10451.28561
120226.4435,10446.44816
125892.5412,10458.46003
131825.6739,10457.39179
138038.4265,10457.74476
144543.9771,10450.84982
151356.1248,10458.18223
158489.3192,10456.79175
165958.6907,10455.3424
173780.0829,10455.78448
181970.0859,10453.00771
190546.0718,10451.1174
199526.2315,10449.47135
208929.6131,10445.69215
218776.1624,10437.91084
229086.7653,10433.70474
239883.2919,10442.85137
251188.6432,10422.28929
263026.7992,10424.99005
275422.8703,10417.37547
288403.1503,10403.05192
301995.172,10396.46339
316227.766,10385.7118
331131.1215,10376.64976
346736.8505,10367.61449
363078.0548,10345.48228
380189.3963,10329.5829
398107.1706,10310.11859
416869.3835,10292.11851
436515.8322,10265.13942
457088.1896,10251.22264
478630.0923,10195.31981
501187.2336,10190.44143
524807.4602,10156.82351
549540.8739,10131.07761
575439.9373,10092.60051
602559.5861,10058.67973
630957.3445,10019.80157
660693.448,9976.70167
691830.9709,9932.235886
724435.9601,9885.886336
758577.575,9830.203276
794328.2347,9778.14112
831763.7711,9721.904638
870963.59,9658.093024
912010.8394,9598.85233
954992.586,9640.834514
1000000,9456.621572
