v3	V(vo)
-9.000000000000000e+000	7.495880e+000
-8.500000000000000e+000	7.495845e+000
-8.000000000000000e+000	7.495811e+000
-7.500000000000000e+000	7.495776e+000
-7.000000000000000e+000	7.495741e+000
-6.500000000000000e+000	7.495707e+000
-6.000000000000000e+000	7.495672e+000
-5.500000000000000e+000	7.495637e+000
-5.000000000000000e+000	7.495602e+000
-4.500000000000000e+000	7.495567e+000
-4.000000000000000e+000	7.495532e+000
-3.500000000000000e+000	7.495497e+000
-3.000000000000000e+000	7.495462e+000
-2.500000000000000e+000	7.495427e+000
-2.000000000000000e+000	7.495392e+000
-1.500000000000000e+000	7.495357e+000
-1.000000000000000e+000	7.493943e+000
-5.000000000000000e-001	4.997684e+000
0.000000000000000e+000	-1.244889e-003
5.000000000000000e-001	-5.000176e+000
1.000000000000000e+000	-8.980468e+000
1.500000000000000e+000	-8.995328e+000
2.000000000000000e+000	-8.995556e+000
2.500000000000000e+000	-8.995326e+000
3.000000000000000e+000	-8.995323e+000
3.500000000000000e+000	-8.995322e+000
4.000000000000000e+000	-8.995322e+000
4.500000000000000e+000	-8.995322e+000
5.000000000000000e+000	-8.995322e+000
5.500000000000000e+000	-8.995322e+000
6.000000000000000e+000	-8.995322e+000
6.500000000000000e+000	-8.995322e+000
7.000000000000000e+000	-8.995322e+000
7.500000000000000e+000	-8.995322e+000
8.000000000000000e+000	-8.995322e+000
8.500000000000000e+000	-8.995322e+000
9.000000000000000e+000	-8.995322e+000
