v3	V(vo)
-9.000000000000000e+000	-8.996099e+000
-8.500000000000000e+000	-8.996058e+000
-8.000000000000000e+000	-8.996015e+000
-7.500000000000000e+000	-8.995972e+000
-7.000000000000000e+000	-8.995929e+000
-6.500000000000000e+000	-8.995886e+000
-6.000000000000000e+000	-8.995818e+000
-5.500000000000000e+000	-8.661264e+000
-5.000000000000000e+000	-7.873878e+000
-4.500000000000000e+000	-7.086112e+000
-4.000000000000000e+000	-6.298770e+000
-3.500000000000000e+000	-5.511426e+000
-3.000000000000000e+000	-4.724085e+000
-2.500000000000000e+000	-3.936743e+000
-2.000000000000000e+000	-3.149401e+000
-1.500000000000000e+000	-2.362060e+000
-1.000000000000000e+000	-1.574719e+000
-5.000000000000000e-001	-7.873774e-001
0.000000000000000e+000	-3.644005e-005
5.000000000000000e-001	7.873044e-001
1.000000000000000e+000	1.574645e+000
1.500000000000000e+000	2.361986e+000
2.000000000000000e+000	3.149326e+000
2.500000000000000e+000	3.936666e+000
3.000000000000000e+000	4.724006e+000
3.500000000000000e+000	5.511346e+000
4.000000000000000e+000	6.298686e+000
4.500000000000000e+000	7.086025e+000
5.000000000000000e+000	7.494648e+000
5.500000000000000e+000	7.494752e+000
6.000000000000000e+000	7.494742e+000
6.500000000000000e+000	7.494742e+000
7.000000000000000e+000	7.494742e+000
7.500000000000000e+000	7.494742e+000
8.000000000000000e+000	7.494742e+000
8.500000000000000e+000	7.494742e+000
9.000000000000000e+000	7.494742e+000
