Freq.	V(vin)/I(R1)
1.00000000000000e+003	(6.86295240194670e+001dB,-1.79422426952143e+002°)
1.02329299228075e+003	(6.86295883159192e+001dB,-1.79408980539122e+002°)
1.04712854805090e+003	(6.86296556408315e+001dB,-1.79395221418731e+002°)
1.07151930523761e+003	(6.86297261367633e+001dB,-1.79381142342800e+002°)
1.09647819614319e+003	(6.86297999529763e+001dB,-1.79366735896883e+002°)
1.12201845430196e+003	(6.86298772457491e+001dB,-1.79351994496560e+002°)
1.14815362149688e+003	(6.86299581787060e+001dB,-1.79336910383676e+002°)
1.17489755493953e+003	(6.86300429231613e+001dB,-1.79321475622508e+002°)
1.20226443461741e+003	(6.86301316584799e+001dB,-1.79305682095841e+002°)
1.23026877081238e+003	(6.86302245724542e+001dB,-1.79289521500995e+002°)
1.25892541179417e+003	(6.86303218616989e+001dB,-1.79272985345749e+002°)
1.28824955169313e+003	(6.86304237320643e+001dB,-1.79256064944208e+002°)
1.31825673855641e+003	(6.86305303990681e+001dB,-1.79238751412587e+002°)
1.34896288259165e+003	(6.86306420883484e+001dB,-1.79221035664915e+002°)
1.38038426460288e+003	(6.86307590361364e+001dB,-1.79202908408663e+002°)
1.41253754462275e+003	(6.86308814897522e+001dB,-1.79184360140298e+002°)
1.44543977074593e+003	(6.86310097081233e+001dB,-1.79165381140753e+002°)
1.47910838816821e+003	(6.86311439623264e+001dB,-1.79145961470825e+002°)
1.51356124843621e+003	(6.86312845361550e+001dB,-1.79126090966492e+002°)
1.54881661891248e+003	(6.86314317267134e+001dB,-1.79105759234152e+002°)
1.58489319246111e+003	(6.86315858450377e+001dB,-1.79084955645787e+002°)
1.62181009735893e+003	(6.86317472167451e+001dB,-1.79063669334050e+002°)
1.65958690743756e+003	(6.86319161827147e+001dB,-1.79041889187276e+002°)
1.69824365246174e+003	(6.86320930997975e+001dB,-1.79019603844417e+002°)
1.73780082874937e+003	(6.86322783415612e+001dB,-1.78996801689910e+002°)
1.77827941003892e+003	(6.86324722990674e+001dB,-1.78973470848462e+002°)
1.81970085860998e+003	(6.86326753816861e+001dB,-1.78949599179776e+002°)
1.86208713666287e+003	(6.86328880179462e+001dB,-1.78925174273200e+002°)
1.90546071796325e+003	(6.86331106564260e+001dB,-1.78900183442316e+002°)
1.94984459975804e+003	(6.86333437666838e+001dB,-1.78874613719459e+002°)
1.99526231496888e+003	(6.86335878402312e+001dB,-1.78848451850186e+002°)
2.04173794466953e+003	(6.86338433915507e+001dB,-1.78821684287674e+002°)
2.08929613085404e+003	(6.86341109591601e+001dB,-1.78794297187077e+002°)
2.13796208950223e+003	(6.86343911067243e+001dB,-1.78766276399822e+002°)
2.18776162394955e+003	(6.86346844242187e+001dB,-1.78737607467872e+002°)
2.23872113856834e+003	(6.86349915291444e+001dB,-1.78708275617940e+002°)
2.29086765276777e+003	(6.86353130677991e+001dB,-1.78678265755671e+002°)
2.34422881531992e+003	(6.86356497166041e+001dB,-1.78647562459799e+002°)
2.39883291901949e+003	(6.86360021834928e+001dB,-1.78616149976282e+002°)
2.45470891568503e+003	(6.86363712093600e+001dB,-1.78584012212419e+002°)
2.51188643150958e+003	(6.86367575695768e+001dB,-1.78551132730970e+002°)
2.57039578276886e+003	(6.86371620755733e+001dB,-1.78517494744267e+002°)
2.63026799189538e+003	(6.86375855764918e+001dB,-1.78483081108357e+002°)
2.69153480392691e+003	(6.86380289609130e+001dB,-1.78447874317149e+002°)
2.75422870333816e+003	(6.86384931586593e+001dB,-1.78411856496612e+002°)
2.81838293126445e+003	(6.86389791426777e+001dB,-1.78375009399015e+002°)
2.88403150312660e+003	(6.86394879310054e+001dB,-1.78337314397230e+002°)
2.95120922666638e+003	(6.86400205888217e+001dB,-1.78298752479117e+002°)
