Frequency (Hz),Trace Irms (A),Input Inp
1040,6.06E-06,1.17E+05
1088.241276,6.05E-06,1.17E+05
1138.720265,6.05E-06,1.17E+05
1191.540764,6.05E-06,1.17E+05
1246.811387,6.04E-06,1.17E+05
1304.645784,6.04E-06,1.17E+05
1365.162878,6.03E-06,1.17E+05
1428.487108,6.03E-06,1.17E+05
1494.748686,6.03E-06,1.17E+05
1564.083864,6.02E-06,1.17E+05
1636.635212,6.02E-06,1.18E+05
1712.551916,6.01E-06,1.18E+05
1791.990079,6.01E-06,1.18E+05
1875.113049,6.00E-06,1.18E+05
1962.091748,6.00E-06,1.18E+05
2053.105027,6.00E-06,1.18E+05
2148.340034,5.99E-06,1.18E+05
2247.992597,5.99E-06,1.18E+05
2352.267628,5.99E-06,1.18E+05
2461.379544,5.98E-06,1.18E+05
2575.552709,5.98E-06,1.18E+05
2695.021892,5.98E-06,1.18E+05
2820.032753,5.97E-06,1.18E+05
2950.842349,5.97E-06,1.18E+05
3087.719658,5.97E-06,1.18E+05
3230.946136,5.97E-06,1.19E+05
3380.816296,5.96E-06,1.19E+05
3537.638309,5.96E-06,1.19E+05
3701.734643,5.96E-06,1.19E+05
3873.442724,5.96E-06,1.19E+05
4053.115629,5.96E-06,1.19E+05
4241.122813,5.95E-06,1.19E+05
4437.850868,5.95E-06,1.19E+05
4643.704321,5.95E-06,1.19E+05
4859.106459,5.95E-06,1.19E+05
5084.500207,5.95E-06,1.19E+05
5320.349034,5.95E-06,1.19E+05
5567.137907,5.95E-06,1.19E+05
5825.37429,5.94E-06,1.19E+05
6095.589186,5.94E-06,1.19E+05
6378.338227,5.94E-06,1.19E+05
6674.202821,5.94E-06,1.19E+05
6983.791343,5.94E-06,1.19E+05
7307.74039,5.94E-06,1.19E+05
7646.716086,5.94E-06,1.19E+05
8001.415456,5.94E-06,1.19E+05
8372.567854,5.94E-06,1.19E+05
8760.93647,5.94E-06,1.19E+05
9167.319891,5.94E-06,1.19E+05
9592.55375,5.94E-06,1.19E+05
10037.51244,5.94E-06,1.19E+05
10503.11091,5.93E-06,1.19E+05
10990.30656,5.93E-06,1.19E+05
11500.10119,5.93E-06,1.19E+05
12033.54308,5.93E-06,1.19E+05
12591.72912,5.93E-06,1.19E+05
13175.80708,5.93E-06,1.19E+05
13786.978,5.93E-06,1.19E+05
14426.49859,5.93E-06,1.19E+05
15095.68388,5.93E-06,1.19E+05
15795.9099,5.93E-06,1.19E+05
16528.61649,5.92E-06,1.19E+05
17295.3103,5.93E-06,1.19E+05
18097.56784,5.92E-06,1.19E+05
18937.03878,5.93E-06,1.19E+05
19815.44928,5.92E-06,1.19E+05
20734.60559,5.92E-06,1.19E+05
21696.39775,5.92E-06,1.19E+05
22702.80344,5.91E-06,1.20E+05
23755.89211,5.91E-06,1.20E+05
24857.82919,5.91E-06,1.20E+05
26010.88054,5.91E-06,1.20E+05
27217.41715,5.91E-06,1.20E+05
28479.91998,5.91E-06,1.20E+05
29800.98507,5.90E-06,1.20E+05
31183.32888,5.90E-06,1.20E+05
32629.79387,5.90E-06,1.20E+05
34143.35435,5.89E-06,1.20E+05
35727.12262,5.89E-06,1.20E+05
37384.35531,5.88E-06,1.20E+05
39118.46013,5.88E-06,1.20E+05
40933.00287,5.88E-06,1.20E+05
42831.71471,5.87E-06,1.21E+05
44818.49989,5.87E-06,1.21E+05
46897.44377,5.86E-06,1.21E+05
49072.82122,5.85E-06,1.21E+05
51349.10539,5.84E-06,1.21E+05
53730.97692,5.84E-06,1.21E+05
56223.33356,5.82E-06,1.21E+05
58831.30027,5.82E-06,1.22E+05
61560.23971,5.80E-06,1.22E+05
64415.7633,5.79E-06,1.22E+05
67403.74277,5.78E-06,1.22E+05
70530.32218,5.77E-06,1.23E+05
73801.93061,5.75E-06,1.23E+05
77225.29535,5.74E-06,1.23E+05
80807.45576,5.73E-06,1.23E+05
84555.77769,5.71E-06,1.24E+05
88477.96869,5.68E-06,1.24E+05
92582.09383,5.67E-06,1.25E+05
96876.59227,5.65E-06,1.25E+05
101370.2946,5.63E-06,1.26E+05
106072.4412,5.60E-06,1.26E+05
110992.7008,5.58E-06,1.27E+05
