Frequency (Hz),Trace Vrms (V),Input inp
1000,0.353490235,2700.482391
1043.729092,0.353480028,2700.560371
1089.370418,0.353494481,2700.449951
1137.007598,0.353534817,2700.141849
1186.727908,0.353493863,2700.454673
1238.622443,0.353493229,2700.459516
1292.786278,0.353515881,2700.286482
1349.318649,0.353462294,2700.695862
1408.323129,0.353466111,2700.666698
1469.907821,0.353494069,2700.453098
1534.185556,0.353517208,2700.276344
1601.274098,0.353480422,2700.55736
1671.296361,0.353509976,2700.331587
1744.380634,0.353421572,2701.007038
1820.660816,0.35343723,2700.887381
1900.276661,0.353419468,2701.023125
1983.374035,0.353435354,2700.901721
2070.105182,0.353435225,2700.902704
2160.629002,0.353314687,2701.824149
2255.111348,0.353272964,2702.143252
2353.72532,0.353273839,2702.136558
2456.651593,0.353322676,2701.763061
2564.078737,0.353301487,2701.925094
2676.203573,0.353217434,2702.568058
2793.231527,0.353172104,2702.914935
2915.377006,0.353162491,2702.988506
3042.863797,0.353120729,2703.308178
3175.925469,0.35302577,2704.035331
3314.805808,0.353069469,2703.700659
3459.759257,0.352928209,2704.782812
3611.05139,0.352874305,2705.195992
3768.95939,0.352781145,2705.910359
3933.772563,0.352699272,2706.538487
4105.792867,0.352585707,2707.41024
4285.335463,0.352670035,2706.762865
4472.729294,0.352464062,2708.344647
4668.317686,0.352301712,2709.592719
4872.458982,0.352160335,2710.680508
5085.527191,0.352017136,2711.7832
5307.91268,0.351916415,2712.559326
5540.022884,0.35163847,2714.703415
5782.283057,0.351545669,2715.420044
6035.137047,0.351304511,2717.284081
6299.048113,0.351037649,2719.34978
6574.49977,0.350742983,2721.634361
6861.996678,0.350334818,2724.805258
7162.065565,0.349926801,2727.982398
7475.256193,0.349574418,2730.732304
7802.142362,0.349113669,2734.336232
8143.322966,0.348451367,2739.533393
8499.423089,0.347797494,2744.68382
8871.095147,0.346997611,2751.010741
9259.020087,0.346140709,2757.821109
9663.908632,0.345170113,2765.575929
10086.50259,0.343912471,2775.689269
10527.57619,0.342608624,2786.252554
10987.93754,0.341139384,2798.252557
11468.43008,0.33937433,2812.806009
11969.93412,0.337337456,2829.789989
12493.36847,0.33483736,2850.918888
13039.69214,0.332087173,2874.528837
13609.90604,0.328968073,2901.783587
14205.05488,0.325454025,2933.11522
14826.22904,0.321519051,2969.012729
15474.56658,0.31701156,3011.22822
16151.25533,0.312207099,3057.567097
16857.53507,0.306884014,3110.602414
17594.69978,0.301160216,3169.721979
18364.10003,0.295129025,3234.497712
19167.14546,0.289009944,3302.980312
20005.30733,0.282662053,3377.157081
20880.12127,0.276266448,3455.338719
21793.19002,0.26987765,3537.136753
22746.18644,0.26361337,3621.190204
23740.85653,0.257725094,3703.923973
24779.02264,0.251954325,3788.758754
25862.58681,0.246449512,3873.386262
26993.53426,0.241275817,3956.443573
28173.93702,0.236414664,4037.79588
29405.95771,0.23174381,4119.178648
30691.85356,0.227430746,4197.295983
32033.98046,0.223360801,4273.776549
33434.79735,0.219833927,4342.342271
34896.87069,0.216488437,4409.446382
36422.87918,0.213431997,4472.591593
38015.61863,0.210616126,4532.388724
39678.00713,0.208062689,4588.012203
41413.09037,0.205797215,4638.518333
43224.04723,0.203839588,4683.065572
45114.19558,0.201917807,4727.637294
47086.99841,0.200195491,4768.309961
49146.07012,0.19898065,4797.422031
51295.18316,0.197526339,4832.743628
53538.27497,0.196124806,4867.279028
55879.45514,0.195338627,4886.868361
58323.013,0.194604601,4905.30105
60873.42543,0.193797913,4925.719474
63535.36508,0.193297418,4938.473395
66313.70893,0.192804017,4951.11133
69213.54724,0.192314094,4963.724373
72240.19284,0.192009231,4971.605522
75399.19092,0.191729612,4978.856124
78696.3291,0.191552518,4983.45918
82137.64815,0.191370014,4988.211764
85729.45296,0.191268536,4990.858281
89478.32414,0.191091259,4995.488345
93391.13004,0.191268604,4990.856505
97475.0394,0.191279306,4990.577246
101737.5344,0.191084778,4995.65776
106186.4245,0.191073891,4995.942414
110829.8604,0.191043509,4996.736922
115676.3496,0.191213365,4992.298293
120734.7714,0.191032226,4997.032051
126014.3934,0.190959415,4998.937358
131524.8885,0.190987165,4998.211026
