Frequency (Hz),Trace Vrms (V),Input imp
1000,0.353584402,2699.763192
1043.729092,0.353550587,2700.021413
1089.370418,0.353591768,2699.70695
1137.007598,0.353613113,2699.543992
1186.727908,0.353533676,2700.15056
1238.622443,0.353550285,2700.02372
1292.786278,0.353600979,2699.636632
1349.318649,0.353674277,2699.077133
1408.323129,0.353605122,2699.604995
1469.907821,0.353630758,2699.409292
1534.185556,0.353575731,2699.829399
1601.274098,0.353619118,2699.498147
1671.296361,0.353573187,2699.848829
1744.380634,0.353689652,2698.959803
1820.660816,0.353636246,2699.367404
1900.276661,0.353645632,2699.295758
1983.374035,0.353591953,2699.705538
2070.105182,0.353711745,2698.791227
2160.629002,0.353576026,2699.827147
2255.111348,0.353618927,2699.499609
2353.72532,0.353722267,2698.710948
2456.651593,0.353633029,2699.391961
2564.078737,0.353605257,2699.603966
2676.203573,0.353707974,2698.819998
2793.231527,0.353579694,2699.799141
2915.377006,0.353611951,2699.552864
3042.863797,0.353730136,2698.650916
3175.925469,0.353678528,2699.044695
3314.805808,0.353563056,2699.926192
3459.759257,0.353633077,2699.391594
3611.05139,0.35357708,2699.819101
3768.95939,0.353675565,2699.067305
3933.772563,0.353593797,2699.691464
4105.792867,0.353696638,2698.906495
4285.335463,0.353549837,2700.027138
4472.729294,0.35354905,2700.033146
4668.317686,0.353447951,2700.805454
4872.458982,0.353636667,2699.36419
5085.527191,0.353476819,2700.584885
5307.91268,0.353423809,2700.989945
5540.022884,0.353477637,2700.578635
5782.283057,0.353449703,2700.792069
6035.137047,0.35340712,2701.117495
6299.048113,0.353292605,2701.993025
6574.49977,0.353261547,2702.230578
6861.996678,0.35328859,2702.023733
7162.065565,0.353128721,2703.246997
7475.256193,0.353238527,2702.406676
7802.142362,0.353168575,2702.941945
8143.322966,0.353077486,2703.639267
8499.423089,0.352946894,2704.639622
8871.095147,0.352838652,2705.469339
9259.020087,0.352858945,2705.313745
9663.908632,0.352716844,2706.403648
10086.50259,0.352614833,2707.186609
10527.57619,0.352553935,2707.654232
10987.93754,0.352417028,2708.706104
11468.43008,0.352302326,2709.587999
11969.93412,0.352103143,2711.120798
12493.36847,0.352023222,2711.736312
13039.69214,0.351864107,2712.962575
13609.90604,0.351607782,2714.940352
14205.05488,0.351380096,2716.699564
14826.22904,0.351195093,2718.130671
15474.56658,0.350825539,2720.993912
16151.25533,0.350696308,2721.996587
16857.53507,0.350376461,2724.481412
17594.69978,0.350016377,2727.284257
18364.10003,0.349675491,2729.942985
19167.14546,0.34922184,2733.489273
20005.30733,0.348970615,2735.457122
20880.12127,0.348425702,2739.735187
21793.19002,0.347752697,2745.037384
22746.18644,0.347188973,2749.494453
23740.85653,0.346785997,2752.689451
24779.02264,0.345998329,2758.955964
25862.58681,0.345190556,2765.412139
26993.53426,0.344213323,2773.263234
28173.93702,0.343416048,2779.701647
29405.95771,0.342219073,2789.424171
30691.85356,0.341048129,2799.001294
32033.98046,0.340119047,2806.64715
33434.79735,0.338774616,2817.78536
34896.87069,0.337119437,2831.620039
36422.87918,0.335449252,2845.718541
38015.61863,0.333853147,2859.323516
39678.00713,0.331787935,2877.12136
41413.09037,0.329707106,2895.279285
43224.04723,0.327485301,2914.922138
45114.19558,0.324710252,2939.833743
47086.99841,0.322081643,2963.826644
49146.07012,0.319144722,2991.101182
51295.18316,0.315855206,3022.252401
