Frequency (Hz),Zin
1000,2706.306886
1047.128548,2707.605305
1096.478196,2709.177331
1148.153621,2709.994365
1202.264435,2710.866434
1258.925412,2711.171466
1318.256739,2712.177778
1380.384265,2712.366533
1445.439771,2714.004385
1513.561248,2715.052343
1584.893192,2716.455751
1659.586907,2717.241214
1737.800829,2717.93292
1819.700859,2719.024774
1905.460718,2720.496876
1995.262315,2720.989638
2089.296131,2721.466828
2187.761624,2723.354713
2290.867653,2724.81492
2398.832919,2725.216523
2511.886432,2726.355831
2630.267992,2726.016181
2754.228703,2728.617465
2884.031503,2729.063243
3019.95172,2729.529811
3162.27766,2729.913518
3311.311215,2730.679146
3467.368505,2731.075607
3630.780548,2731.857907
3801.893963,2732.161248
3981.071706,2733.290123
4168.693835,2733.53113
4365.158322,2734.754601
4570.881896,2735.651317
4786.300923,2736.107246
5011.872336,2736.60679
5248.074602,2736.987306
5495.408739,2738.538793
5754.399373,2737.594175
6025.595861,2739.234089
6309.573445,2740.678167
6606.93448,2739.870491
6918.309709,2740.926983
7244.359601,2742.738659
7585.77575,2742.631813
7943.282347,2743.214387
8317.637711,2745.140638
8709.6359,2745.188899
9120.108394,2746.924354
9549.92586,2746.763011
10000,2749.365599
10471.28548,2750.636261
10964.78196,2751.531276
11481.53621,2753.662304
12022.64435,2755.460907
12589.25412,2756.962783
13182.56739,2758.747062
13803.84265,2761.821359
14454.39771,2765.134758
15135.61248,2767.452081
15848.93192,2772.971491
16595.86907,2774.949047
17378.00829,2780.167191
18197.00859,2784.777983
19054.60718,2789.075797
19952.62315,2798.323919
20892.96131,2799.805777
21877.61624,2810.545653
22908.67653,2820.067743
23988.32919,2829.284981
25118.86432,2843.267147
26302.67992,2853.304525
27542.28703,2866.09059
28840.31503,2881.659038
30199.5172,2899.623672
31622.7766,2920.916042
33113.11215,2943.324961
34673.68505,2966.156477
36307.80548,2994.988982
38018.93963,3027.449985
39810.71706,3062.985066
41686.93835,3104.519624
43651.58322,3149.253741
45708.81896,3198.496713
47863.00923,3252.863328
50118.72336,3311.984107
52480.74602,3381.408213
54954.08739,3456.339687
57543.99373,3537.794066
60255.95861,3624.920211
63095.73445,3723.863023
66069.3448,3824.785939
69183.09709,3932.272203
72443.59601,4045.985195
75857.7575,4169.278191
79432.82347,4290.429246
83176.37711,4411.806606
87096.359,4528.984742
91201.08394,4638.276372
95499.2586,4725.96673
100000,4792.163511
104712.8548,4816.903083
109647.8196,4826.178647
114815.3621,4824.170902
120226.4435,4819.853607
125892.5412,4821.564517
131825.6739,4815.735269
138038.4265,4818.301233
144543.9771,4814.450307
151356.1248,4811.086468
158489.3192,4807.328036
165958.6907,4803.052831
173780.0829,4800.689885
181970.0859,4796.828014
190546.0718,4792.169009
199526.2315,4786.521266
208929.6131,4782.831314
218776.1624,4776.001556
229086.7653,4770.648562
239883.2919,4759.810696
251188.6432,4763.224736
263026.7992,4757.286098
275422.8703,4752.142483
288403.1503,4746.718257
301995.172,4740.335063
316227.766,4735.06862
331131.1215,4723.667062
346736.8505,4714.149371
363078.0548,4706.306857
380189.3963,4697.883091
398107.1706,4686.753822
416869.3835,4678.805295
436515.8322,4667.933662
457088.1896,4653.151512
478630.0923,4641.31775
501187.2336,4637.819611
524807.4602,4619.452162
549540.8739,4604.927598
575439.9373,4590.885332
602559.5861,4577.466126
630957.3445,4563.079984
660693.448,4547.127325
691830.9709,4531.407773
724435.9601,4511.579313
758577.575,4494.711718
794328.2347,4471.623958
831763.7711,4453.338623
870963.59,4431.097613
912010.8394,4408.395287
954992.586,4403.154124
1000000,4363.983173
