time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	1.507137e-005
5.795999985558150e-008	7.757563e-004	1.506267e-005
1.159199997111630e-007	1.536107e-003	1.505922e-005
1.738799995667445e-007	2.281051e-003	1.506103e-005
2.318399994223260e-007	3.010590e-003	1.506810e-005
2.897999992779075e-007	3.724723e-003	1.508042e-005
3.477599991334890e-007	4.423450e-003	1.509801e-005
4.057199989890704e-007	5.106772e-003	1.512085e-005
4.927735704176419e-007	6.083383e-003	1.518230e-005
5.798271418462135e-007	6.954949e-003	1.531809e-005
6.668807132747851e-007	7.721468e-003	1.552820e-005
7.539342847033566e-007	8.382941e-003	1.581265e-005
8.409878561319282e-007	8.939368e-003	1.617143e-005
9.280414275604996e-007	9.390750e-003	1.660454e-005
1.015094998989071e-006	9.737085e-003	1.711198e-005
1.125586070417642e-006	9.948562e-003	1.792903e-005
1.236077141846213e-006	9.960388e-003	1.890667e-005
1.346568213274784e-006	9.772564e-003	2.004487e-005
1.457059284703356e-006	9.385089e-003	2.134364e-005
1.567550356131927e-006	8.797962e-003	2.280299e-005
1.678041427560498e-006	8.011185e-003	2.442290e-005
1.788532498989069e-006	7.024758e-003	2.620339e-005
1.852148570417640e-006	6.389772e-003	2.728864e-005
1.915764641846212e-006	5.722147e-003	2.840316e-005
1.979380713274784e-006	5.021882e-003	2.954697e-005
2.042996784703355e-006	4.288978e-003	3.072007e-005
2.106612856131927e-006	3.523434e-003	3.192244e-005
2.170228927560499e-006	2.725251e-003	3.315409e-005
2.233844998989070e-006	1.894429e-003	3.441503e-005
2.290764641846214e-006	1.140885e-003	3.555468e-005
2.347684284703357e-006	3.914145e-004	3.669321e-005
2.404603927560500e-006	-3.539828e-004	3.783062e-005
2.461523570417643e-006	-1.095307e-003	3.896692e-005
2.518443213274786e-006	-1.832558e-003	4.010210e-005
2.575362856131930e-006	-2.565736e-003	4.123617e-005
2.632282498989073e-006	-3.294840e-003	4.236912e-005
2.705943213274787e-006	-4.214991e-003	4.382000e-005
2.779603927560502e-006	-5.076523e-003	4.522367e-005
2.853264641846217e-006	-5.879436e-003	4.658012e-005
2.926925356131932e-006	-6.623732e-003	4.788937e-005
3.000586070417647e-006	-7.309410e-003	4.915140e-005
3.074246784703361e-006	-7.936469e-003	5.036621e-005
3.147907498989076e-006	-8.504910e-003	5.153382e-005
3.288532498989076e-006	-9.328217e-003	5.355600e-005
3.429157498989076e-006	-9.821643e-003	5.527670e-005
3.569782498989076e-006	-9.985188e-003	5.669592e-005
3.710407498989076e-006	-9.818853e-003	5.781365e-005
3.851032498989076e-006	-9.322637e-003	5.862989e-005
3.991657498989076e-006	-8.496540e-003	5.914465e-005
4.132282498989076e-006	-7.340563e-003	5.935793e-005
4.199246784703361e-006	-6.697286e-003	5.935781e-005
4.266211070417646e-006	-6.015838e-003	5.931261e-005
4.333175356131931e-006	-5.296221e-003	5.922234e-005
4.400139641846216e-006	-4.538433e-003	5.908699e-005
4.467103927560501e-006	-3.742475e-003	5.890657e-005
4.534068213274786e-006	-2.908348e-003	5.868107e-005
4.601032498989071e-006	-2.036050e-003	5.841049e-005
4.657952141846213e-006	-1.284234e-003	5.815958e-005
4.714871784703355e-006	-5.356814e-004	5.790044e-005
4.771791427560497e-006	2.096075e-004	5.763308e-005
4.828711070417640e-006	9.516329e-004	5.735749e-005
4.885630713274782e-006	1.690395e-003	5.707367e-005
4.942550356131924e-006	2.425893e-003	5.678163e-005
4.999469998989066e-006	3.158127e-003	5.648135e-005
5.073130713274780e-006	4.083645e-003	5.609377e-005
5.146791427560493e-006	4.951606e-003	5.573684e-005
5.220452141846206e-006	5.762010e-003	5.541056e-005
5.294112856131919e-006	6.514856e-003	5.511493e-005
5.367773570417633e-006	7.210145e-003	5.484995e-005
5.441434284703347e-006	7.847877e-003	5.461561e-005
