time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	1.507137e-005
1.527380552675080e-006	1.827070e-004	1.471940e-005
3.054761105350161e-006	3.652059e-004	1.572869e-005
4.582141658025241e-006	5.474968e-004	1.809923e-005
6.109522210700321e-006	7.295795e-004	2.183103e-005
7.636902763375401e-006	9.114542e-004	2.692409e-005
9.164283316050483e-006	1.093121e-003	3.337841e-005
1.069166386872556e-005	1.274579e-003	4.119398e-005
1.350932534853820e-005	1.607863e-003	5.996302e-005
1.663432534853820e-005	1.975350e-003	8.286110e-005
1.975932534853820e-005	2.340081e-003	1.036334e-004
2.288432534853820e-005	2.701547e-003	1.169362e-004
2.600932534853821e-005	3.059244e-003	1.178481e-004
2.913432534853821e-005	3.412672e-003	1.031873e-004
3.225932534853821e-005	3.761339e-003	7.241726e-005
3.538432534853821e-005	4.104758e-003	2.806336e-005
4.120479094976597e-005	4.728762e-003	-7.140885e-005
4.355192376985310e-005	4.974088e-003	-1.086214e-004
4.593579697916542e-005	5.219244e-003	-1.380675e-004
4.875447382151411e-005	5.503633e-003	-1.577275e-004
5.187947382151411e-005	5.811611e-003	-1.588889e-004
5.446968420345916e-005	6.060757e-003	-1.412060e-004
5.710214686679399e-005	6.308012e-003	-1.057980e-004
5.950897082827915e-005	6.528615e-003	-6.077133e-005
6.509827579690763e-005	7.019767e-003	6.619142e-005
6.779734236175909e-005	7.245858e-003	1.254023e-004
7.035691538537303e-005	7.453300e-003	1.707896e-004
7.348191538537302e-005	7.697090e-003	2.056765e-004
7.644948322852887e-005	7.918661e-003	2.138176e-004
7.953096814610524e-005	8.138191e-003	1.934768e-004
8.265596814610524e-005	8.349543e-003	1.459398e-004
8.578096814610523e-005	8.549244e-003	7.755878e-005
9.141094224106318e-005	8.878744e-003	-6.751897e-005
9.368061290417461e-005	9.000288e-003	-1.215104e-004
9.598622797215149e-005	9.116973e-003	-1.656562e-004
9.869152433340178e-005	9.245049e-003	-1.987313e-004
1.018165243334018e-004	9.380954e-003	-2.109337e-004
1.043760127447437e-004	9.482523e-003	-1.979699e-004
1.069734621848451e-004	9.576525e-003	-1.632876e-004
1.093866414559983e-004	9.655586e-003	-1.149243e-004
1.152901478905043e-004	9.815011e-003	3.599137e-005
1.199790138550707e-004	9.906853e-003	1.488746e-004
1.225252876230346e-004	9.943705e-003	1.918508e-004
1.251802171054278e-004	9.972320e-003	2.172478e-004
1.278844748131487e-004	9.991141e-003	2.207837e-004
1.303825172903204e-004	9.999252e-003	2.024068e-004
1.334516948279783e-004	9.997010e-003	1.553455e-004
1.365766948279783e-004	9.980905e-003	8.839260e-005
1.421624651530403e-004	9.917450e-003	-5.167884e-005
1.467174522182094e-004	9.832969e-003	-1.466415e-004
1.494830808845194e-004	9.767435e-003	-1.810101e-004
1.521726882215210e-004	9.693465e-003	-1.945033e-004
1.546868394804782e-004	9.615257e-003	-1.871542e-004
1.598045603229332e-004	9.429316e-003	-1.181211e-004
1.629295603229332e-004	9.298378e-003	-5.194662e-005
1.684139372045192e-004	9.037339e-003	7.413018e-005
1.708522051560728e-004	8.908744e-003	1.227088e-004
1.730835166009558e-004	8.784429e-003	1.563122e-004
1.761753446202712e-004	8.601863e-003	1.836234e-004
1.787682001036981e-004	8.439692e-003	1.881645e-004
1.838540844503181e-004	8.098199e-003	1.449231e-004
1.900392546671755e-004	7.642703e-003	3.134204e-005
1.948368049416158e-004	7.260501e-003	-6.436797e-005
1.998432688719059e-004	6.836222e-003	-1.319296e-004
2.025845509820759e-004	6.593437e-003	-1.468531e-004
2.079769528578531e-004	6.095447e-003	-1.255316e-004
2.141295010392132e-004	5.496456e-003	-3.731330e-005
2.196348077130324e-004	4.935187e-003	5.921143e-005
2.241814938568883e-004	4.455431e-003	1.201035e-004
2.268886544400731e-004	4.163437e-003	1.390163e-004
2.326603561568311e-004	3.526734e-003	1.339783e-004
2.381716521102996e-004	2.903053e-003	7.623650e-005
2.461596210262789e-004	1.977476e-003	-3.781093e-005
2.513511437024191e-004	1.365732e-003	-8.579945e-005
2.573998727108600e-004	6.465121e-004	-9.075613e-005
2.634453064909362e-004	-7.569254e-005	-4.277202e-005
2.696953064909362e-004	-8.218752e-004	3.157440e-005
2.746277634385762e-004	-1.407726e-003	8.171107e-005
2.800636468573668e-004	-2.047624e-003	1.048832e-004
2.863136468573668e-004	-2.772512e-003	8.640334e-005
2.951535741909922e-004	-3.770437e-003	9.095397e-006
3.026541631446560e-004	-4.584609e-003	-4.362996e-005
3.089041631446559e-004	-5.235170e-003	-4.777583e-005
3.182791631446559e-004	-6.155157e-003	5.588545e-006
3.266434376614510e-004	-6.911106e-003	6.144078e-005
3.354442810046336e-004	-7.631849e-003	7.189704e-005
3.448192810046335e-004	-8.306612e-003	3.048734e-005
3.534561827013675e-004	-8.836198e-003	-1.034176e-005
3.624610067834976e-004	-9.288066e-003	-1.366138e-005
3.718360067834976e-004	-9.644213e-003	1.970799e-005
3.811829000446799e-004	-9.878846e-003	4.978108e-005
3.852007571875371e-004	-9.941987e-003	4.749714e-005
3.892186143303942e-004	-9.982125e-003	4.374896e-005
3.932364714732513e-004	-9.999258e-003	3.853653e-005
3.972543286161084e-004	-9.993388e-003	3.185985e-005
4.012721857589655e-004	-9.964515e-003	2.371893e-005
4.052900429018227e-004	-9.912638e-003	1.411377e-005
4.093079000446798e-004	-9.837757e-003	3.044357e-006
4.146650429018226e-004	-9.700384e-003	1.096973e-005
4.200221857589654e-004	-9.525493e-003	1.762639e-005
4.253793286161083e-004	-9.313082e-003	2.301434e-005
4.307364714732511e-004	-9.063152e-003	2.713357e-005
4.360936143303939e-004	-8.775703e-003	2.998409e-005
4.414507571875367e-004	-8.450735e-003	3.156590e-005
4.468079000446795e-004	-8.088248e-003	3.187899e-005
4.517186143303938e-004	-7.725677e-003	2.325706e-005
4.566293286161081e-004	-7.340047e-003	1.687024e-005
4.615400429018223e-004	-6.931360e-003	1.271853e-005
4.664507571875366e-004	-6.499615e-003	1.080193e-005
4.713614714732509e-004	-6.044812e-003	1.112045e-005
4.762721857589651e-004	-5.566951e-003	1.367408e-005
4.811829000446793e-004	-5.066032e-003	1.846283e-005
4.874329000446793e-004	-4.398452e-003	2.163048e-005
4.936829000446793e-004	-3.716095e-003	2.325040e-005
4.999329000446792e-004	-3.018959e-003	2.332259e-005
5.061829000446792e-004	-2.307045e-003	2.184707e-005
5.124329000446791e-004	-1.580352e-003	1.882382e-005
5.186829000446791e-004	-8.388818e-004	1.425284e-005
5.249329000446791e-004	-8.263285e-005	8.134147e-006
5.311829000446790e-004	6.741158e-004	1.262937e-005
5.374329000446790e-004	1.416971e-003	1.568564e-005
5.436829000446790e-004	2.145934e-003	1.730296e-005
5.499329000446789e-004	2.861004e-003	1.748132e-005
5.561829000446789e-004	3.562181e-003	1.622074e-005
5.624329000446788e-004	4.249465e-003	1.352120e-005
5.686829000446788e-004	4.922856e-003	9.382710e-006
5.776114714732502e-004	5.842190e-003	1.056799e-005
5.865400429018215e-004	6.674299e-003	1.100807e-005
5.954686143303929e-004	7.419183e-003	1.070293e-005
6.043971857589643e-004	8.076841e-003	9.652595e-006
6.133257571875357e-004	8.647274e-003	7.857050e-006
