time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	1.507137e-005
5.849437507056015e-007	7.439722e-004	1.436183e-005
1.169887501411203e-006	1.474305e-003	1.472161e-005
1.754831252116805e-006	2.190998e-003	1.615072e-005
2.339775002822406e-006	2.894051e-003	1.864915e-005
2.924718753528008e-006	3.583465e-003	2.221691e-005
3.509662504233609e-006	4.259240e-003	2.685398e-005
4.094606254939209e-006	4.921374e-003	3.256038e-005
4.709840629939210e-006	5.587433e-003	4.130370e-005
5.325075004939210e-006	6.211530e-003	5.261649e-005
5.940309379939210e-006	6.793667e-003	6.649874e-005
6.555543754939210e-006	7.333844e-003	8.295045e-005
7.170778129939210e-006	7.832060e-003	1.019716e-004
7.786012504939211e-006	8.288315e-003	1.235623e-004
8.401246879939209e-006	8.702610e-003	1.477224e-004
9.148317192439208e-006	9.130710e-003	1.819688e-004
9.895387504939206e-006	9.473091e-003	2.177299e-004
1.064245781743921e-005	9.729753e-003	2.550056e-004
1.138952812993920e-005	9.900697e-003	2.937961e-004
1.213659844243920e-005	9.985923e-003	3.341012e-004
1.288366875493920e-005	9.985430e-003	3.759211e-004
1.363073906743920e-005	9.899218e-003	4.192556e-004
1.455359062993920e-005	9.668864e-003	4.681586e-004
1.547644219243920e-005	9.308622e-003	5.127292e-004
1.639929375493919e-005	8.823330e-003	5.508921e-004
1.732214531743919e-005	8.219508e-003	5.805532e-004
1.824499687993919e-005	7.505267e-003	5.996599e-004
1.916784844243919e-005	6.690202e-003	6.062618e-004
2.009070000493919e-005	5.785264e-003	5.985722e-004
2.101355156743918e-005	4.802607e-003	5.750273e-004
2.193640312993918e-005	3.755433e-003	5.343421e-004
2.285925469243918e-005	2.657810e-003	4.755626e-004
2.378210625493918e-005	1.524483e-003	3.981117e-004
2.470495781743918e-005	3.706760e-004	3.018276e-004
2.562780937993917e-005	-7.881104e-004	1.869946e-004
2.624304375493917e-005	-1.566642e-003	9.903436e-005
2.685827812993917e-005	-2.324849e-003	4.861924e-006
2.747351250493917e-005	-3.062731e-003	-9.552274e-005
2.808874687993917e-005	-3.780288e-003	-2.021196e-004
2.870398125493917e-005	-4.477521e-003	-3.149288e-004
2.931921562993917e-005	-5.154430e-003	-4.339502e-004
2.993445000493916e-005	-5.811013e-003	-5.591838e-004
3.068152031743917e-005	-6.560987e-003	-7.191357e-004
3.142859062993917e-005	-7.240075e-003	-8.775767e-004
3.217566094243918e-005	-7.848275e-003	-1.034507e-003
3.292273125493918e-005	-8.385588e-003	-1.189926e-003
3.366980156743919e-005	-8.852014e-003	-1.343835e-003
3.441687187993920e-005	-9.247553e-003	-1.496232e-003
3.516394219243920e-005	-9.572205e-003	-1.647119e-003
3.604284844243921e-005	-9.831381e-003	-1.814735e-003
3.692175469243922e-005	-9.970818e-003	-1.957108e-003
3.780066094243922e-005	-9.990518e-003	-2.074237e-003
3.867956719243924e-005	-9.890481e-003	-2.166123e-003
3.955847344243924e-005	-9.670705e-003	-2.232766e-003
4.043737969243925e-005	-9.331191e-003	-2.274166e-003
4.131628594243926e-005	-8.871940e-003	-2.290322e-003
4.223913750493927e-005	-8.278470e-003	-2.261024e-003
4.316198906743927e-005	-7.573790e-003	-2.190799e-003
4.408484062993928e-005	-6.767365e-003	-2.078187e-003
4.500769219243929e-005	-5.870030e-003	-1.922424e-003
4.593054375493930e-005	-4.893837e-003	-1.723496e-003
4.685339531743931e-005	-3.851903e-003	-1.482173e-003
4.777624687993931e-005	-2.758223e-003	-1.200033e-003
4.869909844243932e-005	-1.627489e-003	-8.794706e-004
4.962195000493933e-005	-4.748930e-004	-5.236896e-004
5.054480156743934e-005	6.840831e-004	-1.366831e-004
5.146765312993935e-005	1.833869e-003	2.768034e-004
5.203894219243935e-005	2.542739e-003	5.477239e-004
5.261023125493936e-005	3.229988e-003	8.213265e-004
5.318152031743936e-005	3.895616e-003	1.097611e-003
5.375280937993937e-005	4.539623e-003	1.376578e-003
5.432409844243937e-005	5.162009e-003	1.658228e-003
5.489538750493938e-005	5.762774e-003	1.942559e-003
5.546667656743938e-005	6.341918e-003	2.229572e-003
5.621374687993939e-005	7.050335e-003	2.604316e-003
5.696081719243939e-005	7.684626e-003	2.958904e-003
5.770788750493940e-005	8.244790e-003	3.293337e-003
5.845495781743941e-005	8.730829e-003	3.607615e-003
5.920202812993942e-005	9.142741e-003	3.901737e-003
5.994909844243943e-005	9.480527e-003	4.175703e-003
6.069616875493943e-005	9.744188e-003	4.429514e-003
6.148718437993942e-005	9.917257e-003	4.658185e-003
6.227820000493941e-005	9.993369e-003	4.836849e-003
6.306921562993940e-005	9.972525e-003	4.965507e-003
6.386023125493939e-005	9.854725e-003	5.044158e-003
6.465124687993939e-005	9.639968e-003	5.072803e-003
6.544226250493938e-005	9.328255e-003	5.051442e-003
6.623327812993937e-005	8.919585e-003	4.980075e-003
6.715612969243936e-005	8.336533e-003	4.816947e-003
6.807898125493934e-005	7.641489e-003	4.575237e-003
6.900183281743933e-005	6.843792e-003	4.255388e-003
6.992468437993932e-005	5.954157e-003	3.859098e-003
7.084753594243931e-005	4.984536e-003	3.389337e-003
7.177038750493930e-005	3.947953e-003	2.850344e-003
7.269323906743928e-005	2.858335e-003	2.247600e-003
7.361609062993927e-005	1.730319e-003	1.587780e-003
7.453894219243926e-005	5.790583e-004	8.786906e-004
7.497839531743925e-005	2.297514e-005	5.233944e-004
7.541784844243924e-005	-5.290077e-004	1.627619e-004
7.585730156743924e-005	-1.076890e-003	-2.032069e-004
7.629675469243924e-005	-1.620673e-003	-5.745120e-004
7.673620781743923e-005	-2.160355e-003	-9.511534e-004
7.717566094243923e-005	-2.695937e-003	-1.333131e-003
7.761511406743922e-005	-3.227419e-003	-1.720445e-003
7.818640312993921e-005	-3.905872e-003	-2.228876e-003
7.875769219243921e-005	-4.556255e-003	-2.729164e-003
7.932898125493920e-005	-5.178568e-003	-3.221307e-003
7.990027031743919e-005	-5.772811e-003	-3.705306e-003
8.047155937993919e-005	-6.338983e-003	-4.181161e-003
8.104284844243918e-005	-6.877085e-003	-4.648872e-003
8.161413750493917e-005	-7.387117e-003	-5.108438e-003
8.240515312993916e-005	-8.029838e-003	-5.720223e-003
8.319616875493915e-005	-8.582284e-003	-6.272786e-003
8.398718437993914e-005	-9.044456e-003	-6.766128e-003
8.477820000493913e-005	-9.416353e-003	-7.200249e-003
8.556921562993911e-005	-9.697976e-003	-7.575149e-003
8.636023125493910e-005	-9.889324e-003	-7.890828e-003
8.715124687993909e-005	-9.990398e-003	-8.147286e-003
8.807409844243908e-005	-9.973988e-003	-8.329229e-003
8.899695000493907e-005	-9.823590e-003	-8.398408e-003
8.991980156743906e-005	-9.541225e-003	-8.350395e-003
9.084265312993904e-005	-9.130685e-003	-8.182384e-003
9.176550469243903e-005	-8.597486e-003	-7.893275e-003
9.268835625493902e-005	-7.948791e-003	-7.483732e-003
9.361120781743901e-005	-7.193313e-003	-6.956223e-003
9.453405937993900e-005	-6.341204e-003	-6.315026e-003
9.545691094243898e-005	-5.403907e-003	-5.566211e-003
9.637976250493897e-005	-4.394016e-003	-4.717596e-003
9.730261406743896e-005	-3.325097e-003	-3.778671e-003
9.822546562993895e-005	-2.211510e-003	-2.760495e-003
9.914831719243893e-005	-1.068214e-003	-1.675575e-003
