time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	1.507137e-005
5.849437507056015e-007	7.830505e-004	1.432795e-005
1.169887501411203e-006	1.550284e-003	1.470660e-005
1.754831252116805e-006	2.301700e-003	1.620734e-005
2.339775002822406e-006	3.037300e-003	1.883015e-005
2.924718753528008e-006	3.757082e-003	2.257505e-005
3.509662504233609e-006	4.461047e-003	2.744202e-005
4.094606254939209e-006	5.149195e-003	3.343108e-005
4.709840629939210e-006	5.837558e-003	4.262038e-005
5.325075004939210e-006	6.477756e-003	5.447128e-005
5.940309379939210e-006	7.069789e-003	6.898379e-005
6.555543754939210e-006	7.613656e-003	8.615790e-005
7.170778129939210e-006	8.109358e-003	1.059936e-004
7.786012504939211e-006	8.556895e-003	1.284909e-004
8.401246879939209e-006	8.956267e-003	1.536499e-004
9.104371879939208e-006	9.333743e-003	1.868587e-004
9.807496879939206e-006	9.626594e-003	2.214382e-004
1.051062187993921e-005	9.834820e-003	2.573884e-004
1.121374687993921e-005	9.958421e-003	2.947091e-004
1.191687187993920e-005	9.997397e-003	3.334006e-004
1.261999687993920e-005	9.951747e-003	3.734626e-004
1.332312187993920e-005	9.821473e-003	4.148954e-004
1.424597344243920e-005	9.519811e-003	4.649009e-004
1.516882500493919e-005	9.076835e-003	5.105606e-004
1.609167656743919e-005	8.499120e-003	5.496882e-004
1.701452812993919e-005	7.795243e-003	5.800737e-004
1.793737969243919e-005	6.975651e-003	5.995491e-004
1.886023125493919e-005	6.052510e-003	6.060548e-004
1.978308281743919e-005	5.039526e-003	5.977069e-004
2.070593437993918e-005	3.951733e-003	5.728619e-004
2.162878594243918e-005	2.805280e-003	5.301784e-004
2.255163750493918e-005	1.617185e-003	4.686736e-004
2.347448906743918e-005	4.050834e-004	3.877732e-004
2.439734062993918e-005	-8.130309e-004	2.873531e-004
2.532019219243917e-005	-2.019076e-003	1.677728e-004
2.593542656743917e-005	-2.819559e-003	7.621122e-005
2.655066094243917e-005	-3.589322e-003	-2.159733e-005
2.716589531743917e-005	-4.328365e-003	-1.256529e-004
2.778112969243917e-005	-5.036689e-003	-2.359554e-004
2.839636406743917e-005	-5.714293e-003	-3.525050e-004
2.901159844243917e-005	-6.361177e-003	-4.753015e-004
2.962683281743916e-005	-6.977342e-003	-6.043451e-004
3.037390312993917e-005	-7.660602e-003	-7.688171e-004
3.112097344243918e-005	-8.257284e-003	-9.309191e-004
3.186804375493918e-005	-8.767388e-003	-1.090651e-003
3.261511406743919e-005	-9.190915e-003	-1.248013e-003
3.336218437993919e-005	-9.527864e-003	-1.403004e-003
3.410925469243920e-005	-9.778235e-003	-1.555626e-003
3.485632500493920e-005	-9.942028e-003	-1.705878e-003
3.564734062993921e-005	-9.994031e-003	-1.853708e-003
3.643835625493922e-005	-9.941792e-003	-1.980066e-003
3.722937187993922e-005	-9.785311e-003	-2.084950e-003
3.802038750493923e-005	-9.524589e-003	-2.168360e-003
3.881140312993924e-005	-9.159625e-003	-2.230298e-003
3.960241875493924e-005	-8.690420e-003	-2.270761e-003
4.039343437993925e-005	-8.116973e-003	-2.289752e-003
4.131628594243926e-005	-7.346427e-003	-2.267701e-003
4.223913750493927e-005	-6.466829e-003	-2.203512e-003
4.316198906743927e-005	-5.491235e-003	-2.095511e-003
4.408484062993928e-005	-4.434129e-003	-1.942774e-003
4.500769219243929e-005	-3.311201e-003	-1.745174e-003
4.593054375493930e-005	-2.139122e-003	-1.503433e-003
4.685339531743931e-005	-9.352883e-004	-1.219137e-003
4.777624687993931e-005	2.824287e-004	-8.947597e-004
4.869909844243932e-005	1.495953e-003	-5.336476e-004
4.962195000493933e-005	2.687272e-003	-1.400028e-004
5.014929375493934e-005	3.358677e-003	1.007243e-004
5.067663750493934e-005	4.006277e-003	3.463827e-004
5.120398125493935e-005	4.630072e-003	5.969723e-004
5.173132500493935e-005	5.230060e-003	8.524932e-004
5.225866875493935e-005	5.806242e-003	1.112945e-003
5.278601250493936e-005	6.358619e-003	1.378329e-003
5.331335625493936e-005	6.887190e-003	1.648643e-003
5.401648125493937e-005	7.540000e-003	2.013972e-003
5.471960625493937e-005	8.117286e-003	2.367119e-003
5.542273125493939e-005	8.619050e-003	2.708085e-003
5.612585625493939e-005	9.045290e-003	3.036869e-003
5.682898125493940e-005	9.396008e-003	3.353473e-003
5.753210625493940e-005	9.671202e-003	3.657895e-003
5.823523125493941e-005	9.870873e-003	3.950136e-003
5.902624687993941e-005	9.979670e-003	4.248690e-003
5.981726250493940e-005	9.982912e-003	4.500772e-003
6.060827812993941e-005	9.880598e-003	4.706381e-003
6.139929375493940e-005	9.672728e-003	4.865517e-003
6.219030937993941e-005	9.359302e-003	4.978181e-003
6.298132500493941e-005	8.940320e-003	5.044373e-003
6.377234062993940e-005	8.415782e-003	5.064092e-003
6.469519219243939e-005	7.696458e-003	5.004326e-003
6.561804375493938e-005	6.862885e-003	4.864291e-003
6.654089531743936e-005	5.927438e-003	4.642757e-003
6.746374687993935e-005	4.904004e-003	4.339799e-003
6.838659844243934e-005	3.807773e-003	3.956846e-003
6.930945000493933e-005	2.655018e-003	3.496702e-003
7.023230156743932e-005	1.462852e-003	2.963547e-003
7.115515312993930e-005	2.489710e-004	2.362917e-003
7.207800469243929e-005	-9.686059e-004	1.701656e-003
7.300085625493928e-005	-2.171804e-003	9.878444e-004
7.348425469243928e-005	-2.796242e-003	5.919966e-004
7.396765312993927e-005	-3.403303e-003	1.896610e-004
7.445105156743927e-005	-3.992987e-003	-2.191624e-004
7.493445000493925e-005	-4.565296e-003	-6.344737e-004
