time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	1.507137e-005
6.288890632056015e-007	7.612890e-004	1.424370e-005
1.257778126411203e-006	1.507995e-003	1.467389e-005
1.886667189616805e-006	2.240118e-003	1.636194e-005
2.515556252822406e-006	2.957658e-003	1.930786e-005
3.144445316028008e-006	3.660615e-003	2.351164e-005
3.773334379233609e-006	4.348989e-003	2.897328e-005
4.402223442439210e-006	5.022781e-003	3.569278e-005
5.061403129939210e-006	5.696617e-003	4.598303e-005
5.720582817439210e-006	6.326148e-003	5.912065e-005
6.379762504939209e-006	6.911374e-003	7.510564e-005
7.038942192439210e-006	7.452295e-003	9.393801e-005
7.698121879939209e-006	7.948911e-003	1.156178e-004
8.357301567439209e-006	8.401222e-003	1.401449e-004
9.016481254939208e-006	8.809227e-003	1.675194e-004
9.763551567439206e-006	9.200070e-003	2.031789e-004
1.051062187993921e-005	9.513184e-003	2.398814e-004
1.125769219243921e-005	9.748570e-003	2.776268e-004
1.200476250493920e-005	9.906228e-003	3.164152e-004
1.275183281743920e-005	9.986157e-003	3.562465e-004
1.349890312993920e-005	9.988358e-003	3.971208e-004
1.424597344243920e-005	9.912831e-003	4.390381e-004
1.512487969243919e-005	9.707448e-003	4.875469e-004
1.600378594243919e-005	9.406430e-003	5.274408e-004
1.688269219243919e-005	9.009778e-003	5.587199e-004
1.776159844243919e-005	8.517491e-003	5.813842e-004
1.864050469243919e-005	7.929570e-003	5.954337e-004
1.951941094243919e-005	7.246014e-003	6.008684e-004
2.039831719243919e-005	6.466823e-003	5.976883e-004
2.132116875493918e-005	5.587778e-003	5.752594e-004
2.224402031743918e-005	4.640801e-003	5.363821e-004
2.316687187993918e-005	3.637406e-003	4.801402e-004
2.408972344243918e-005	2.589789e-003	4.059662e-004
2.501257500493917e-005	1.510689e-003	3.136765e-004
2.593542656743917e-005	4.132223e-004	2.034999e-004
2.685827812993917e-005	-6.892677e-004	7.609733e-005
2.751745781743917e-005	-1.484001e-003	-2.692331e-005
2.817663750493917e-005	-2.257900e-003	-1.356687e-004
2.883581719243917e-005	-3.010967e-003	-2.501390e-004
2.949499687993917e-005	-3.743200e-003	-3.703340e-004
3.015417656743917e-005	-4.454599e-003	-4.962538e-004
3.081335625493917e-005	-5.145165e-003	-6.278983e-004
3.147253594243917e-005	-5.814898e-003	-7.652677e-004
3.226355156743918e-005	-6.569937e-003	-9.362243e-004
3.305456719243919e-005	-7.252927e-003	-1.102048e-003
3.384558281743919e-005	-7.863869e-003	-1.262738e-003
3.463659844243920e-005	-8.402763e-003	-1.418296e-003
3.542761406743921e-005	-8.869610e-003	-1.568720e-003
3.621862969243921e-005	-9.264408e-003	-1.714011e-003
3.700964531743922e-005	-9.587158e-003	-1.854170e-003
3.788855156743922e-005	-9.831589e-003	-1.993505e-003
3.876745781743924e-005	-9.967396e-003	-2.104699e-003
3.964636406743924e-005	-9.994580e-003	-2.187752e-003
4.052527031743925e-005	-9.913140e-003	-2.242663e-003
4.140417656743926e-005	-9.723078e-003	-2.269432e-003
4.228308281743927e-005	-9.424392e-003	-2.268061e-003
4.316198906743927e-005	-9.017084e-003	-2.238547e-003
4.408484062993928e-005	-8.486296e-003	-2.162163e-003
4.500769219243929e-005	-7.852339e-003	-2.045011e-003
4.593054375493930e-005	-7.122920e-003	-1.886510e-003
4.685339531743931e-005	-6.306906e-003	-1.686778e-003
4.777624687993931e-005	-5.414219e-003	-1.446660e-003
4.869909844243932e-005	-4.455710e-003	-1.167747e-003
4.962195000493933e-005	-3.443032e-003	-8.523809e-004
5.054480156743934e-005	-2.388496e-003	-5.036482e-004
5.146765312993935e-005	-1.304923e-003	-1.253567e-004
5.239050469243936e-005	-2.054864e-004	2.779972e-004
5.291784844243936e-005	4.308954e-004	5.207338e-004
5.344519219243937e-005	1.059416e-003	7.660381e-004
5.397253594243937e-005	1.680076e-003	1.013910e-003
5.449987969243938e-005	2.292874e-003	1.264350e-003
5.502722344243938e-005	2.897811e-003	1.517357e-003
5.555456719243938e-005	3.494887e-003	1.772931e-003
5.608191094243939e-005	4.084102e-003	2.031074e-003
5.678503594243939e-005	4.847491e-003	2.376160e-003
5.748816094243940e-005	5.564951e-003	2.706754e-003
5.819128594243940e-005	6.236482e-003	3.022856e-003
5.889441094243942e-005	6.862085e-003	3.324465e-003
5.959753594243942e-005	7.441759e-003	3.611582e-003
6.030066094243943e-005	7.975504e-003	3.884206e-003
6.100378594243943e-005	8.463320e-003	4.142338e-003
6.188269219243942e-005	8.982114e-003	4.429512e-003
6.276159844243941e-005	9.393985e-003	4.660236e-003
6.364050469243941e-005	9.698935e-003	4.834510e-003
6.451941094243939e-005	9.896964e-003	4.952334e-003
6.539831719243937e-005	9.988070e-003	5.013708e-003
6.627722344243937e-005	9.972255e-003	5.018632e-003
6.715612969243936e-005	9.849519e-003	4.967107e-003
6.785925469243934e-005	9.663505e-003	4.869410e-003
6.856237969243934e-005	9.414958e-003	4.729246e-003
6.926550469243933e-005	9.103878e-003	4.546614e-003
6.996862969243932e-005	8.730264e-003	4.321513e-003
7.067175469243931e-005	8.294117e-003	4.053945e-003
7.137487969243931e-005	7.795436e-003	3.743908e-003
7.207800469243929e-005	7.234221e-003	3.391403e-003
7.300085625493928e-005	6.430167e-003	2.873577e-003
7.392370781743927e-005	5.547940e-003	2.294858e-003
7.484655937993926e-005	4.598266e-003	1.661393e-003
7.576941094243924e-005	3.592689e-003	9.803607e-004
7.669226250493923e-005	2.543436e-003	2.598927e-004
7.713171562993922e-005	2.028526e-003	-9.725751e-005
7.757116875493922e-005	1.511601e-003	-4.575282e-004
7.801062187993921e-005	9.926620e-004	-8.209193e-004
7.845007500493921e-005	4.717079e-004	-1.187431e-003
7.888952812993921e-005	-5.126085e-005	-1.557063e-003
7.932898125493920e-005	-5.762443e-004	-1.929815e-003
7.976843437993919e-005	-1.103242e-003	-2.305688e-003
8.033972344243918e-005	-1.786412e-003	-2.795756e-003
8.091101250493918e-005	-2.453696e-003	-3.274813e-003
8.148230156743917e-005	-3.105094e-003	-3.742857e-003
8.205359062993916e-005	-3.740606e-003	-4.199890e-003
8.262487969243915e-005	-4.360233e-003	-4.645910e-003
8.319616875493915e-005	-4.963974e-003	-5.080919e-003
8.376745781743914e-005	-5.551830e-003	-5.504916e-003
8.455847344243913e-005	-6.325725e-003	-6.062847e-003
8.534948906743912e-005	-7.029252e-003	-6.560495e-003
8.614050469243911e-005	-7.662409e-003	-6.997860e-003
8.693152031743909e-005	-8.225197e-003	-7.374943e-003
8.772253594243908e-005	-8.717615e-003	-7.691743e-003
8.851355156743907e-005	-9.139665e-003	-7.948260e-003
8.930456719243906e-005	-9.491345e-003	-8.144495e-003
9.005163750493905e-005	-9.735188e-003	-8.249482e-003
9.079870781743904e-005	-9.900023e-003	-8.280627e-003
9.154577812993904e-005	-9.985849e-003	-8.237930e-003
9.229284844243903e-005	-9.992666e-003	-8.121392e-003
9.303991875493902e-005	-9.920476e-003	-7.931011e-003
9.378698906743901e-005	-9.769276e-003	-7.666788e-003
9.453405937993900e-005	-9.539069e-003	-7.328723e-003
9.545691094243898e-005	-9.150696e-003	-6.810051e-003
9.637976250493897e-005	-8.651077e-003	-6.184791e-003
9.730261406743896e-005	-8.046285e-003	-5.458724e-003
9.822546562993895e-005	-7.343674e-003	-4.639202e-003
9.914831719243893e-005	-6.551784e-003	-3.735070e-003
1.000711687549389e-004	-5.680243e-003	-2.756584e-003
1.009940203174389e-004	-4.739646e-003	-1.715284e-003
1.019168718799389e-004	-3.741428e-003	-6.238728e-004
1.023563250049389e-004	-3.245806e-003	-8.639625e-005
1.027957781299389e-004	-2.744730e-003	4.537421e-004
1.032352312549389e-004	-2.238200e-003	9.965423e-004
1.036746843799389e-004	-1.726215e-003	1.542004e-003
1.041141375049389e-004	-1.208776e-003	2.090128e-003
1.045535906299389e-004	-6.858822e-004	2.640914e-003
1.049930437549389e-004	-1.575345e-004	3.194361e-003
1.054324968799389e-004	3.712660e-004	3.744722e-003
1.058719500049388e-004	8.954642e-004	4.285890e-003
1.063114031299388e-004	1.415060e-003	4.817866e-003
1.067508562549388e-004	1.930054e-003	5.340649e-003
1.071903093799388e-004	2.440445e-003	5.854241e-003
1.076297625049388e-004	2.946235e-003	6.358640e-003
1.080692156299388e-004	3.447422e-003	6.853847e-003
1.087283953174388e-004	4.185719e-003	7.573616e-003
1.093875750049388e-004	4.887813e-003	8.241745e-003
1.100467546924388e-004	5.553704e-003	8.858234e-003
1.107059343799388e-004	6.183391e-003	9.423084e-003
1.113651140674388e-004	6.776875e-003	9.936294e-003
1.120242937549388e-004	7.334156e-003	1.039786e-002
1.126834734424388e-004	7.855234e-003	1.080780e-002
1.134305437549387e-004	8.382639e-003	1.118580e-002
1.141776140674387e-004	8.835951e-003	1.146607e-002
1.149246843799387e-004	9.215171e-003	1.164860e-002
1.156717546924387e-004	9.520298e-003	1.173340e-002
1.164188250049387e-004	9.751333e-003	1.172046e-002
1.171658953174387e-004	9.908275e-003	1.160978e-002
1.179129656299387e-004	9.991125e-003	1.140137e-002
1.188358171924387e-004	9.976765e-003	1.099735e-002
1.197586687549387e-004	9.841117e-003	1.044048e-002
1.206815203174387e-004	9.585828e-003	9.735219e-003
1.216043718799386e-004	9.214003e-003	8.888135e-003
1.225272234424386e-004	8.730161e-003	7.907839e-003
1.234500750049387e-004	8.140186e-003	6.804906e-003
1.243729265674387e-004	7.451249e-003	5.591763e-003
1.252957781299387e-004	6.671726e-003	4.282547e-003
1.262186296924388e-004	5.811093e-003	2.892944e-003
1.266580828174388e-004	5.372522e-003	2.202728e-003
1.270975359424388e-004	4.922328e-003	1.505174e-003
1.275369890674388e-004	4.460512e-003	8.002815e-004
1.279764421924388e-004	3.987073e-003	8.804969e-005
1.284158953174388e-004	3.502013e-003	-6.315209e-004
1.288553484424388e-004	3.005330e-003	-1.358430e-003
1.292948015674389e-004	2.497024e-003	-2.092679e-003
1.296903093799389e-004	2.033979e-003	-2.752777e-003
1.300858171924389e-004	1.568999e-003	-3.407206e-003
1.304813250049389e-004	1.102083e-003	-4.055966e-003
1.308768328174389e-004	6.332334e-004	-4.699057e-003
1.312723406299389e-004	1.624484e-004	-5.336479e-003
1.316678484424389e-004	-3.102715e-004	-5.968232e-003
1.320633562549389e-004	-7.849262e-004	-6.594316e-003
1.325467546924390e-004	-1.364011e-003	-7.345960e-003
1.330301531299390e-004	-1.933877e-003	-8.071193e-003
1.335135515674390e-004	-2.494526e-003	-8.770016e-003
1.339969500049390e-004	-3.045957e-003	-9.442429e-003
1.344803484424390e-004	-3.588170e-003	-1.008843e-002
1.349637468799390e-004	-4.121166e-003	-1.070802e-002
1.354471453174390e-004	-4.644943e-003	-1.130120e-002
1.361942156299391e-004	-5.429106e-003	-1.215336e-002
1.369412859424391e-004	-6.156832e-003	-1.289641e-002
1.376883562549391e-004	-6.828120e-003	-1.353034e-002
1.384354265674391e-004	-7.442971e-003	-1.405515e-002
1.391824968799391e-004	-8.001384e-003	-1.447086e-002
1.399295671924392e-004	-8.503360e-003	-1.477745e-002
1.406766375049392e-004	-8.948899e-003	-1.497493e-002
1.415994890674392e-004	-9.385828e-003	-1.502881e-002
1.425223406299393e-004	-9.708652e-003	-1.488825e-002
1.434451921924393e-004	-9.913446e-003	-1.455223e-002
1.443680437549393e-004	-9.997721e-003	-1.402231e-002
1.452908953174393e-004	-9.960452e-003	-1.330265e-002
1.462137468799394e-004	-9.802092e-003	-1.239999e-002
1.471365984424394e-004	-9.524566e-003	-1.132357e-002
1.480594500049394e-004	-9.131249e-003	-1.008508e-002
1.489823015674395e-004	-8.626922e-003	-8.698480e-003
1.494657000049395e-004	-8.317331e-003	-7.911227e-003
1.499490984424395e-004	-7.983010e-003	-7.097320e-003
1.504324968799395e-004	-7.623960e-003	-6.256758e-003
1.509158953174395e-004	-7.240179e-003	-5.389542e-003
1.513992937549395e-004	-6.831669e-003	-4.495672e-003
1.518826921924395e-004	-6.398429e-003	-3.575148e-003
1.523660906299396e-004	-5.940459e-003	-2.627969e-003
1.528055437549396e-004	-5.506667e-003	-1.753315e-003
1.532449968799396e-004	-5.060857e-003	-8.744208e-004
1.536844500049396e-004	-4.603027e-003	8.712556e-006
1.541239031299396e-004	-4.133177e-003	8.960854e-004
1.545633562549396e-004	-3.651309e-003	1.787698e-003
1.550028093799397e-004	-3.157421e-003	2.683549e-003
1.554422625049397e-004	-2.651513e-003	3.583641e-003
1.557938250049397e-004	-2.242249e-003	4.298430e-003
1.561453875049397e-004	-1.830853e-003	5.005336e-003
1.564969500049397e-004	-1.417325e-003	5.704361e-003
1.568485125049397e-004	-1.001665e-003	6.395504e-003
1.572000750049397e-004	-5.838728e-004	7.078764e-003
1.575516375049397e-004	-1.639483e-004	7.754143e-003
1.579032000049397e-004	2.581085e-004	8.421639e-003
1.583426531299397e-004	7.862011e-004	9.239971e-003
1.587821062549398e-004	1.308569e-003	1.003031e-002
1.592215593799398e-004	1.825211e-003	1.079266e-002
1.596610125049398e-004	2.336128e-003	1.152702e-002
1.601004656299398e-004	2.841320e-003	1.223339e-002
1.605399187549398e-004	3.340786e-003	1.291177e-002
1.609793718799398e-004	3.834527e-003	1.356215e-002
1.616824968799399e-004	4.608079e-003	1.453374e-002
1.623856218799399e-004	5.337157e-003	1.538989e-002
1.630887468799399e-004	6.021761e-003	1.613060e-002
1.637918718799399e-004	6.661890e-003	1.675588e-002
1.644949968799399e-004	7.257546e-003	1.726572e-002
1.651981218799400e-004	7.808728e-003	1.766012e-002
1.659012468799400e-004	8.315437e-003	1.793908e-002
1.668240984424400e-004	8.876407e-003	1.808827e-002
1.677469500049400e-004	9.329463e-003	1.800725e-002
1.686698015674401e-004	9.669102e-003	1.769456e-002
1.695926531299401e-004	9.891191e-003	1.715175e-002
1.705155046924401e-004	9.993030e-003	1.638338e-002
1.714383562549402e-004	9.973384e-003	1.539701e-002
1.723612078174402e-004	9.832488e-003	1.420311e-002
1.732840593799402e-004	9.572058e-003	1.281496e-002
1.737674578174402e-004	9.386765e-003	1.200807e-002
1.742508562549402e-004	9.172217e-003	1.116213e-002
1.747342546924402e-004	8.928414e-003	1.027713e-002
1.752176531299403e-004	8.655357e-003	9.353078e-003
1.757010515674403e-004	8.353045e-003	8.389973e-003
1.761844500049403e-004	8.021479e-003	7.387815e-003
1.766678484424403e-004	7.660658e-003	6.346603e-003
1.771073015674403e-004	7.309859e-003	5.375979e-003
1.775467546924404e-004	6.941576e-003	4.392370e-003
1.779862078174404e-004	6.555809e-003	3.395775e-003
1.784256609424404e-004	6.152557e-003	2.386195e-003
1.788651140674404e-004	5.731821e-003	1.363629e-003
1.793045671924404e-004	5.293601e-003	3.280788e-004
1.797440203174404e-004	4.837897e-003	-7.204571e-004
1.801395281299404e-004	4.416408e-003	-1.665488e-003
1.805350359424404e-004	3.987494e-003	-2.604926e-003
1.809305437549405e-004	3.551156e-003	-3.538769e-003
1.813260515674404e-004	3.107394e-003	-4.467020e-003
1.817215593799405e-004	2.656208e-003	-5.389676e-003
1.821170671924405e-004	2.197597e-003	-6.306740e-003
1.825125750049405e-004	1.731561e-003	-7.218209e-003
1.829520281299405e-004	1.208419e-003	-8.216173e-003
1.833914812549405e-004	6.855461e-004	-9.187674e-003
1.838309343799405e-004	1.629440e-004	-1.013271e-002
1.842703875049405e-004	-3.593879e-004	-1.105129e-002
1.847098406299405e-004	-8.814495e-004	-1.194340e-002
1.851492937549406e-004	-1.403241e-003	-1.280905e-002
1.855887468799406e-004	-1.924762e-003	-1.364823e-002
1.861600359424406e-004	-2.597190e-003	-1.468761e-002
1.867313250049406e-004	-3.250169e-003	-1.564934e-002
1.873026140674406e-004	-3.883698e-003	-1.653343e-002
1.878739031299407e-004	-4.497778e-003	-1.733986e-002
1.884451921924407e-004	-5.092409e-003	-1.806864e-002
1.890164812549407e-004	-5.667590e-003	-1.871977e-002
1.895877703174407e-004	-6.223321e-003	-1.929326e-002
1.902469500049407e-004	-6.827606e-003	-1.983472e-002
1.909061296924408e-004	-7.381842e-003	-2.024464e-002
1.915653093799408e-004	-7.886027e-003	-2.052302e-002
1.922244890674408e-004	-8.340163e-003	-2.066986e-002
1.928836687549408e-004	-8.744248e-003	-2.068516e-002
1.935428484424408e-004	-9.098283e-003	-2.056892e-002
1.942020281299409e-004	-9.402269e-003	-2.032114e-002
1.951248796924409e-004	-9.720033e-003	-1.974605e-002
1.960477312549409e-004	-9.919629e-003	-1.891524e-002
1.969705828174409e-004	-9.998630e-003	-1.783735e-002
1.978934343799410e-004	-9.956076e-003	-1.652425e-002
1.984207781299410e-004	-9.875561e-003	-1.566403e-002
1.989481218799410e-004	-9.757432e-003	-1.474474e-002
1.994754656299410e-004	-9.601689e-003	-1.376638e-002
2.000028093799410e-004	-9.408331e-003	-1.272894e-002
2.005301531299411e-004	-9.177358e-003	-1.163243e-002
2.010574968799411e-004	-8.908770e-003	-1.047684e-002
2.015848406299411e-004	-8.602568e-003	-9.262180e-003
2.019803484424411e-004	-8.350336e-003	-8.324621e-003
2.023758562549411e-004	-8.081060e-003	-7.370239e-003
2.027713640674411e-004	-7.794740e-003	-6.399035e-003
2.031668718799411e-004	-7.491376e-003	-5.411010e-003
2.035623796924411e-004	-7.170968e-003	-4.406162e-003
2.039578875049412e-004	-6.833515e-003	-3.384492e-003
2.043533953174412e-004	-6.479018e-003	-2.346000e-003
2.047928484424412e-004	-6.067030e-003	-1.179968e-003
2.052323015674412e-004	-5.641351e-003	-1.490568e-005
2.056717546924412e-004	-5.201981e-003	1.149187e-003
2.061112078174412e-004	-4.748921e-003	2.312310e-003
2.065506609424412e-004	-4.282170e-003	3.474464e-003
2.069901140674413e-004	-3.801729e-003	4.635648e-003
2.074295671924413e-004	-3.307597e-003	5.795863e-003
2.078250750049413e-004	-2.855309e-003	6.827551e-003
2.082205828174413e-004	-2.399214e-003	7.840577e-003
2.086160906299413e-004	-1.939310e-003	8.834942e-003
2.090115984424413e-004	-1.475600e-003	9.810647e-003
2.094071062549413e-004	-1.008081e-003	1.076769e-002
2.098026140674413e-004	-5.367547e-004	1.170607e-002
2.101981218799413e-004	-6.162077e-005	1.262579e-002
2.105936296924414e-004	4.136556e-004	1.351804e-002
2.109891375049414e-004	8.853952e-004	1.437651e-002
2.113846453174414e-004	1.353598e-003	1.520123e-002
2.117801531299414e-004	1.818264e-003	1.599217e-002
2.121756609424414e-004	2.279394e-003	1.674935e-002
2.125711687549414e-004	2.736987e-003	1.747276e-002
2.129666765674414e-004	3.191043e-003	1.816241e-002
2.135819109424415e-004	3.887222e-003	1.915848e-002
2.141971453174415e-004	4.553848e-003	2.003971e-002
2.148123796924415e-004	5.190922e-003	2.080610e-002
2.154276140674415e-004	5.798443e-003	2.145765e-002
2.160428484424415e-004	6.376412e-003	2.199437e-002
2.166580828174415e-004	6.924829e-003	2.241625e-002
2.172733171924416e-004	7.443693e-003	2.272329e-002
2.181961687549416e-004	8.133603e-003	2.293234e-002
2.191190203174416e-004	8.724634e-003	2.285343e-002
2.200418718799417e-004	9.209597e-003	2.248586e-002
2.209647234424417e-004	9.582597e-003	2.183262e-002
2.218875750049417e-004	9.839100e-003	2.090032e-002
2.224588640674417e-004	9.937855e-003	2.017686e-002
2.230301531299417e-004	9.990310e-003	1.936378e-002
2.236014421924418e-004	9.996463e-003	1.846109e-002
2.241727312549418e-004	9.956316e-003	1.746878e-002
