time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	1.812096e-005
9.765625114122045e-011	6.135923e-009	1.812096e-005
1.953125022824409e-010	1.227185e-008	1.812096e-005
1.445312516890063e-008	9.081167e-007	1.812722e-005
2.871093783551882e-008	1.803961e-006	1.817568e-005
4.296875050213701e-008	2.699806e-006	1.826635e-005
5.722656316875520e-008	3.595651e-006	1.839922e-005
7.148437583537340e-008	4.491496e-006	1.857430e-005
8.574218850199158e-008	5.387340e-006	1.879158e-005
1.000000011686097e-007	6.283185e-006	1.905107e-005
2.000000023372195e-007	1.256637e-005	2.181635e-005
2.941735723632667e-007	1.848346e-005	2.572031e-005
3.684016134403926e-007	2.314734e-005	2.958973e-005
4.499059021724778e-007	2.826838e-005	3.419832e-005
5.356158926054327e-007	3.365368e-005	3.899907e-005
6.573971933512302e-007	4.130537e-005	4.534082e-005
9.009597948428250e-007	5.660867e-005	5.673563e-005
1.195181461399485e-006	7.509476e-005	6.899564e-005
1.588203422516725e-006	9.978811e-005	8.291594e-005
2.353128831257213e-006	1.478461e-004	1.030880e-004
3.619343501149296e-006	2.273905e-004	1.223304e-004
4.946083023936497e-006	3.107215e-004	1.262682e-004
6.669081546321947e-006	4.189081e-004	1.123132e-004
8.625606925767993e-006	5.416976e-004	8.186808e-005
1.049855017072293e-005	6.591651e-004	4.583418e-005
1.219447676379098e-005	7.654521e-004	1.285531e-005
1.373095405602789e-005	8.616714e-004	-1.357070e-005
1.539212692753246e-005	9.656090e-004	-3.629905e-005
1.692238582883185e-005	1.061263e-003	-5.035887e-005
1.900887736408904e-005	1.191525e-003	-5.930807e-005
2.094264291218317e-005	1.312071e-003	-5.863829e-005
2.264141749408811e-005	1.417809e-003	-5.101729e-005
2.435461879553739e-005	1.524281e-003	-3.798556e-005
2.611476066064800e-005	1.633486e-003	-2.076317e-005
2.821113558733430e-005	1.763290e-003	2.419195e-006
3.008204936755308e-005	1.878877e-003	2.374309e-005
3.197780760410253e-005	1.995733e-003	4.440075e-005
3.386954990422898e-005	2.112060e-003	6.267897e-005
3.582402884996925e-005	2.231931e-003	7.806499e-005
3.780337318261386e-005	2.352984e-003	8.933313e-005
3.980750524778548e-005	2.475182e-003	9.590819e-005
4.188208874051001e-005	2.601262e-003	9.731398e-005
4.454980860211083e-005	2.762737e-003	9.208874e-005
4.764252559856862e-005	2.948961e-003	7.890871e-005
5.047890408909676e-005	3.118774e-003	6.213078e-005
5.296550096903946e-005	3.266832e-003	4.550643e-005
5.548500551840126e-005	3.416036e-003	2.905157e-005
5.841042674515384e-005	3.588201e-003	1.273276e-005
6.143211537138569e-005	3.764759e-003	6.141717e-007
6.420409544309636e-005	3.925534e-003	-4.920293e-006
6.720084943703096e-005	4.098006e-003	-4.635533e-006
7.258737712082590e-005	4.404321e-003	1.000491e-005
7.513127913053276e-005	4.547253e-003	2.134717e-005
7.762319380204048e-005	4.686138e-003	3.361156e-005
8.012009955822767e-005	4.824148e-003	4.567462e-005
8.342532629984661e-005	5.005005e-003	5.966032e-005
8.641761861909540e-005	5.166879e-003	6.917270e-005
8.936446758396399e-005	5.324510e-003	7.445185e-005
9.259113792995379e-005	5.495013e-003	7.544323e-005
9.611494655835551e-005	5.678636e-003	7.162002e-005
1.001365621790845e-004	5.884792e-003	6.307450e-005
1.047856506031550e-004	6.118423e-003	5.134933e-005
1.092278042600997e-004	6.336781e-003	4.180882e-005
1.137478699320998e-004	6.553900e-003	3.656669e-005
1.180360608347704e-004	6.754999e-003	3.682950e-005
1.255172244617321e-004	7.094010e-003	4.832815e-005
1.294610035124932e-004	7.266461e-003	5.688090e-005
1.340266920854654e-004	7.460529e-003	6.580340e-005
1.382792563927069e-004	7.635767e-003	7.152926e-005
1.423910049265603e-004	7.800020e-003	7.363303e-005
1.516643055809378e-004	8.151192e-003	6.853903e-005
1.572901649060967e-004	8.350828e-003	6.341465e-005
1.646301505200616e-004	8.595568e-003	5.948180e-005
1.746183111681195e-004	8.899152e-003	6.303543e-005
1.798977998672670e-004	9.045535e-003	6.814762e-005
1.850416756029828e-004	9.178586e-003	7.287408e-005
1.902415774440566e-004	9.303342e-003	7.609998e-005
2.064005790691721e-004	9.627116e-003	7.377875e-005
2.136737894119650e-004	9.740652e-003	7.156885e-005
2.326527463532617e-004	9.940658e-003	7.543946e-005
2.390802819720410e-004	9.976472e-003	7.759144e-005
2.607795998991783e-004	9.977072e-003	7.625121e-005
2.855382369553096e-004	9.751734e-003	7.548274e-005
3.037825575921823e-004	9.434444e-003	7.495745e-005
3.233138075921823e-004	8.957663e-003	7.113206e-005
3.428450575921823e-004	8.346151e-003	6.859619e-005
3.623763075921823e-004	7.609105e-003	6.485520e-005
3.819075575921824e-004	6.757610e-003	5.955920e-005
4.014388075921824e-004	5.804476e-003	5.472622e-005
4.209700575921824e-004	4.764036e-003	4.882716e-005
4.405013075921824e-004	3.651941e-003	4.229364e-005
4.600325575921824e-004	2.484917e-003	3.587669e-005
4.795638075921824e-004	1.280518e-003	2.884000e-005
4.990950575921824e-004	5.685890e-005	2.168493e-005
5.186263075921824e-004	-1.167656e-003	1.465115e-005
5.381575575921824e-004	-2.374608e-003	7.476413e-006
5.576888075921825e-004	-3.545843e-003	5.391187e-007
5.772200575921825e-004	-4.663746e-003	-6.089367e-006
5.967513075921825e-004	-5.711502e-003	-1.244337e-005
6.162825575921825e-004	-6.673351e-003	-1.827922e-005
6.358138075921825e-004	-7.534828e-003	-2.356849e-005
6.553450575921825e-004	-8.282972e-003	-2.826559e-005
6.748763075921826e-004	-8.906534e-003	-3.223115e-005
6.944075575921826e-004	-9.396133e-003	-3.545033e-005
7.139388075921826e-004	-9.744406e-003	-3.787399e-005
7.334700575921826e-004	-9.946113e-003	-3.943895e-005
7.530013075921826e-004	-9.998222e-003	-4.014762e-005
7.725325575921826e-004	-9.899948e-003	-3.998094e-005
7.920638075921827e-004	-9.652770e-003	-3.893354e-005
8.115950575921827e-004	-9.260405e-003	-3.703384e-005
8.311263075921827e-004	-8.728755e-003	-3.430314e-005
8.506575575921827e-004	-8.065816e-003	-3.078171e-005
8.701888075921827e-004	-7.281560e-003	-2.652773e-005
8.897200575921827e-004	-6.387783e-003	-2.160069e-005
9.092513075921828e-004	-5.397927e-003	-1.607581e-005
9.287825575921828e-004	-4.326882e-003	-1.003786e-005
9.483138075921828e-004	-3.190756e-003	-3.575396e-006
9.678450575921828e-004	-2.006638e-003	3.213252e-006
9.873763075921827e-004	-7.923386e-004	1.022567e-005
1.006907557592183e-003	4.338784e-004	1.735736e-005
