time,V(vin),V(vout)
0.00E+00,0.00E+00,1.81E-05
1.00E-14,1.00E-04,1.81E-05
2.00E-14,2.00E-04,1.81E-05
1.00E-12,1.00E-02,1.81E-05
1.01E-12,1.00E-02,1.81E-05
1.04E-12,1.00E-02,1.81E-05
4.94E-10,1.00E-02,2.70E-05
9.86E-10,1.00E-02,3.58E-05
1.48E-09,1.00E-02,4.46E-05
1.97E-09,1.00E-02,5.33E-05
2.46E-09,1.00E-02,6.19E-05
2.96E-09,1.00E-02,7.04E-05
3.45E-09,1.00E-02,7.89E-05
6.90E-09,1.00E-02,1.38E-04
1.22E-08,1.00E-02,2.27E-04
1.83E-08,1.00E-02,3.33E-04
2.54E-08,1.00E-02,4.62E-04
3.49E-08,1.00E-02,6.52E-04
4.71E-08,1.00E-02,9.26E-04
6.07E-08,1.00E-02,1.28E-03
7.67E-08,1.00E-02,1.74E-03
9.54E-08,1.00E-02,2.34E-03
1.18E-07,1.00E-02,3.12E-03
1.46E-07,1.00E-02,4.09E-03
1.80E-07,1.00E-02,5.22E-03
2.20E-07,1.00E-02,6.42E-03
2.76E-07,1.00E-02,7.72E-03
3.28E-07,1.00E-02,8.52E-03
3.95E-07,1.00E-02,9.00E-03
4.63E-07,1.00E-02,9.05E-03
5.30E-07,1.00E-02,8.82E-03
6.01E-07,1.00E-02,8.42E-03
6.83E-07,1.00E-02,7.96E-03
7.89E-07,1.00E-02,7.46E-03
9.10E-07,1.00E-02,7.05E-03
1.05E-06,1.00E-02,6.69E-03
1.21E-06,1.00E-02,6.34E-03
1.40E-06,1.00E-02,5.91E-03
1.61E-06,1.00E-02,5.42E-03
1.81E-06,1.00E-02,4.95E-03
2.02E-06,1.00E-02,4.49E-03
2.22E-06,1.00E-02,4.05E-03
2.43E-06,1.00E-02,3.63E-03
2.63E-06,1.00E-02,3.22E-03
2.84E-06,1.00E-02,2.82E-03
3.04E-06,1.00E-02,2.44E-03
3.25E-06,1.00E-02,2.07E-03
3.45E-06,1.00E-02,1.71E-03
3.66E-06,1.00E-02,1.37E-03
3.86E-06,1.00E-02,1.04E-03
4.07E-06,1.00E-02,7.29E-04
4.27E-06,1.00E-02,4.30E-04
4.48E-06,1.00E-02,1.44E-04
4.68E-06,1.00E-02,-1.29E-04
4.89E-06,1.00E-02,-3.88E-04
5.09E-06,1.00E-02,-6.35E-04
5.30E-06,1.00E-02,-8.68E-04
5.50E-06,1.00E-02,-1.09E-03
5.71E-06,1.00E-02,-1.30E-03
5.91E-06,1.00E-02,-1.49E-03
6.12E-06,1.00E-02,-1.68E-03
6.32E-06,1.00E-02,-1.85E-03
6.53E-06,1.00E-02,-2.01E-03
6.73E-06,1.00E-02,-2.16E-03
6.94E-06,1.00E-02,-2.30E-03
7.14E-06,1.00E-02,-2.43E-03
7.35E-06,1.00E-02,-2.54E-03
7.55E-06,1.00E-02,-2.65E-03
7.76E-06,1.00E-02,-2.75E-03
7.96E-06,1.00E-02,-2.84E-03
8.17E-06,1.00E-02,-2.91E-03
8.37E-06,1.00E-02,-2.98E-03
8.78E-06,1.00E-02,-3.09E-03
9.19E-06,1.00E-02,-3.17E-03
9.60E-06,1.00E-02,-3.22E-03
1.00E-05,1.00E-02,-3.24E-03
1.04E-05,1.00E-02,-3.23E-03
1.08E-05,1.00E-02,-3.20E-03
1.12E-05,1.00E-02,-3.15E-03
1.17E-05,1.00E-02,-3.07E-03
1.23E-05,1.00E-02,-2.93E-03
1.29E-05,1.00E-02,-2.75E-03
1.35E-05,1.00E-02,-2.54E-03
1.41E-05,1.00E-02,-2.31E-03
1.45E-05,1.00E-02,-2.15E-03
1.49E-05,1.00E-02,-1.98E-03
1.53E-05,1.00E-02,-1.80E-03
1.58E-05,1.00E-02,-1.62E-03
