time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	1.812096e-005
9.999999824516700e-015	1.000000e-004	1.812096e-005
1.999999964903340e-014	2.000000e-004	1.812097e-005
1.000000000000000e-012	1.000000e-002	1.813002e-005
1.013157446213238e-012	1.000000e-002	1.813026e-005
1.039472338639713e-012	1.000000e-002	1.813074e-005
4.937670366726609e-010	1.000000e-002	2.700604e-005
9.864946010066821e-010	1.000000e-002	3.581823e-005
1.479222165340703e-009	1.000000e-002	4.456730e-005
1.971949729674725e-009	1.000000e-002	5.325327e-005
2.464677294008746e-009	1.000000e-002	6.187613e-005
2.957404858342767e-009	1.000000e-002	7.043588e-005
3.450132422676787e-009	1.000000e-002	7.893252e-005
6.899278002799788e-009	1.000000e-002	1.378654e-004
1.217219404104699e-008	1.000000e-002	2.271941e-004
1.830313836926675e-008	1.000000e-002	3.328015e-004
2.541186441603149e-008	1.000000e-002	4.621219e-004
3.492162294282871e-008	1.000000e-002	6.521756e-004
4.705748870143558e-008	1.000000e-002	9.258215e-004
6.067988676389657e-008	1.000000e-002	1.276013e-003
7.667439511635255e-008	1.000000e-002	1.740728e-003
9.538904088107194e-008	1.000000e-002	2.341157e-003
1.182466578704480e-007	1.000000e-002	3.124537e-003
1.457025574550042e-007	1.000000e-002	4.085298e-003
1.795335239215709e-007	1.000000e-002	5.223752e-003
2.201586924505512e-007	1.000000e-002	6.424887e-003
2.758462736424837e-007	1.000000e-002	7.719354e-003
3.284484735978658e-007	1.000000e-002	8.522727e-003
3.949094228634166e-007	1.000000e-002	8.999391e-003
4.634740576053748e-007	1.000000e-002	9.052391e-003
5.297819833155171e-007	1.000000e-002	8.817472e-003
6.012850377310357e-007	1.000000e-002	8.422415e-003
6.825442770311175e-007	1.000000e-002	7.962675e-003
7.889078277406044e-007	1.000000e-002	7.463343e-003
9.103161787108725e-007	1.000000e-002	7.048455e-003
1.052620666204518e-006	1.000000e-002	6.692307e-003
1.211098995747136e-006	1.000000e-002	6.341928e-003
1.401683836359396e-006	1.000000e-002	5.907511e-003
1.606761961359396e-006	1.000000e-002	5.424139e-003
1.811840086359396e-006	1.000000e-002	4.949210e-003
2.016918211359396e-006	1.000000e-002	4.493806e-003
2.221996336359396e-006	1.000000e-002	4.054883e-003
2.427074461359397e-006	1.000000e-002	3.629199e-003
2.632152586359397e-006	1.000000e-002	3.216994e-003
2.837230711359397e-006	1.000000e-002	2.819116e-003
3.042308836359397e-006	1.000000e-002	2.435644e-003
3.247386961359397e-006	1.000000e-002	2.066356e-003
3.452465086359397e-006	1.000000e-002	1.711143e-003
3.657543211359397e-006	1.000000e-002	1.369969e-003
3.862621336359397e-006	1.000000e-002	1.042759e-003
4.067699461359397e-006	1.000000e-002	7.293975e-004
4.272777586359398e-006	1.000000e-002	4.297531e-004
4.477855711359398e-006	1.000000e-002	1.436840e-004
4.682933836359398e-006	1.000000e-002	-1.289646e-004
4.888011961359398e-006	1.000000e-002	-3.883618e-004
5.093090086359398e-006	1.000000e-002	-6.346902e-004
5.298168211359398e-006	1.000000e-002	-8.681433e-004
5.503246336359398e-006	1.000000e-002	-1.088925e-003
5.708324461359398e-006	1.000000e-002	-1.297250e-003
5.913402586359399e-006	1.000000e-002	-1.493341e-003
6.118480711359399e-006	1.000000e-002	-1.677429e-003
6.323558836359399e-006	1.000000e-002	-1.849754e-003
6.528636961359399e-006	1.000000e-002	-2.010560e-003
6.733715086359399e-006	1.000000e-002	-2.160099e-003
6.938793211359399e-006	1.000000e-002	-2.298629e-003
7.143871336359399e-006	1.000000e-002	-2.426412e-003
7.348949461359399e-006	1.000000e-002	-2.543712e-003
7.554027586359399e-006	1.000000e-002	-2.650799e-003
7.759105711359400e-006	1.000000e-002	-2.747946e-003
7.964183836359400e-006	1.000000e-002	-2.835427e-003
8.169261961359400e-006	1.000000e-002	-2.913519e-003
8.374340086359400e-006	1.000000e-002	-2.982499e-003
8.784496336359400e-006	1.000000e-002	-3.094241e-003
9.194652586359400e-006	1.000000e-002	-3.172887e-003
9.604808836359401e-006	1.000000e-002	-3.220661e-003
1.001496508635940e-005	1.000000e-002	-3.239775e-003
1.042512133635940e-005	1.000000e-002	-3.232407e-003
1.083527758635940e-005	1.000000e-002	-3.200700e-003
1.124543383635940e-005	1.000000e-002	-3.146748e-003
1.165559008635940e-005	1.000000e-002	-3.072593e-003
1.227082446135940e-005	1.000000e-002	-2.927798e-003
1.288605883635940e-005	1.000000e-002	-2.748398e-003
1.350129321135940e-005	1.000000e-002	-2.540442e-003
1.411652758635940e-005	1.000000e-002	-2.309596e-003
1.452668383635940e-005	1.000000e-002	-2.145599e-003
1.493684008635940e-005	1.000000e-002	-1.975238e-003
1.534699633635940e-005	1.000000e-002	-1.799894e-003
1.575715258635940e-005	1.000000e-002	-1.620867e-003
1.596223071135940e-005	1.000000e-002	-1.530356e-003
1.616730883635940e-005	1.000000e-002	-1.439376e-003
1.637238696135939e-005	1.000000e-002	-1.348066e-003
1.657746508635939e-005	1.000000e-002	-1.256562e-003
1.678254321135939e-005	1.000000e-002	-1.164994e-003
1.698762133635939e-005	1.000000e-002	-1.073488e-003
1.719269946135939e-005	1.000000e-002	-9.821650e-004
1.739777758635939e-005	1.000000e-002	-8.911407e-004
1.760285571135939e-005	1.000000e-002	-8.005272e-004
1.780793383635938e-005	1.000000e-002	-7.104314e-004
1.801301196135938e-005	1.000000e-002	-6.209561e-004
1.821809008635938e-005	1.000000e-002	-5.321995e-004
1.842316821135938e-005	1.000000e-002	-4.442556e-004
1.862824633635938e-005	1.000000e-002	-3.572138e-004
1.883332446135938e-005	1.000000e-002	-2.711597e-004
1.903840258635937e-005	1.000000e-002	-1.861746e-004
1.944855883635937e-005	1.000000e-002	-1.971621e-005
1.985871508635937e-005	1.000000e-002	1.415902e-004
2.026887133635936e-005	1.000000e-002	2.972345e-004
2.047394946135936e-005	1.000000e-002	3.727900e-004
2.067902758635936e-005	1.000000e-002	4.467649e-004
2.088410571135936e-005	1.000000e-002	5.191114e-004
2.108918383635936e-005	1.000000e-002	5.897851e-004
2.129426196135936e-005	1.000000e-002	6.587447e-004
2.149934008635936e-005	1.000000e-002	7.259521e-004
2.170441821135935e-005	1.000000e-002	7.913723e-004
2.190949633635935e-005	1.000000e-002	8.549732e-004
2.211457446135935e-005	1.000000e-002	9.167257e-004
2.231965258635935e-005	1.000000e-002	9.766035e-004
2.252473071135935e-005	1.000000e-002	1.034583e-003
2.272980883635935e-005	1.000000e-002	1.090643e-003
2.293488696135934e-005	1.000000e-002	1.144766e-003
2.313996508635934e-005	1.000000e-002	1.196936e-003
2.334504321135934e-005	1.000000e-002	1.247139e-003
2.355012133635934e-005	1.000000e-002	1.295364e-003
2.375519946135934e-005	1.000000e-002	1.341604e-003
2.396027758635934e-005	1.000000e-002	1.385850e-003
2.416535571135933e-005	1.000000e-002	1.428100e-003
2.437043383635933e-005	1.000000e-002	1.468350e-003
2.457551196135933e-005	1.000000e-002	1.506600e-003
2.478059008635933e-005	1.000000e-002	1.542853e-003
2.498566821135933e-005	1.000000e-002	1.577111e-003
2.519074633635933e-005	1.000000e-002	1.609380e-003
2.539582446135933e-005	1.000000e-002	1.639668e-003
2.560090258635932e-005	1.000000e-002	1.667982e-003
2.580598071135932e-005	1.000000e-002	1.694333e-003
2.601105883635932e-005	1.000000e-002	1.718733e-003
2.621613696135932e-005	1.000000e-002	1.741196e-003
2.642121508635932e-005	1.000000e-002	1.761736e-003
2.662629321135932e-005	1.000000e-002	1.780369e-003
2.683137133635931e-005	1.000000e-002	1.797113e-003
2.703644946135931e-005	1.000000e-002	1.811987e-003
2.724152758635931e-005	1.000000e-002	1.825010e-003
2.765168383635931e-005	1.000000e-002	1.845590e-003
2.806184008635930e-005	1.000000e-002	1.859036e-003
2.847199633635930e-005	1.000000e-002	1.865545e-003
2.888215258635930e-005	1.000000e-002	1.865328e-003
2.929230883635930e-005	1.000000e-002	1.858611e-003
2.990754321135929e-005	1.000000e-002	1.836867e-003
3.052277758635929e-005	1.000000e-002	1.801873e-003
3.113801196135929e-005	1.000000e-002	1.754511e-003
3.175324633635930e-005	1.000000e-002	1.695698e-003
3.216340258635930e-005	1.000000e-002	1.649870e-003
3.257355883635930e-005	1.000000e-002	1.600378e-003
3.298371508635931e-005	1.000000e-002	1.547222e-003
3.339387133635931e-005	1.000000e-002	1.490402e-003
3.380402758635931e-005	1.000000e-002	1.429918e-003
3.421418383635932e-005	1.000000e-002	1.365771e-003
3.462434008635932e-005	1.000000e-002	1.297959e-003
3.515168383635933e-005	1.000000e-002	1.206385e-003
3.567902758635933e-005	1.000000e-002	1.112516e-003
3.620637133635934e-005	1.000000e-002	1.016352e-003
3.673371508635934e-005	1.000000e-002	9.178921e-004
3.726105883635934e-005	1.000000e-002	8.171374e-004
3.778840258635935e-005	1.000000e-002	7.140876e-004
3.831574633635935e-005	1.000000e-002	6.087426e-004
3.893098071135936e-005	1.000000e-002	4.871419e-004
3.954621508635937e-005	1.000000e-002	3.641965e-004
4.016144946135937e-005	1.000000e-002	2.441846e-004
4.077668383635938e-005	1.000000e-002	1.271061e-004
4.139191821135938e-005	1.000000e-002	1.296096e-005
4.200715258635939e-005	1.000000e-002	-9.825073e-005
4.262238696135939e-005	1.000000e-002	-2.065290e-004
4.323762133635940e-005	1.000000e-002	-3.118739e-004
4.385285571135940e-005	1.000000e-002	-4.105350e-004
4.443879321135941e-005	1.000000e-002	-5.000371e-004
4.502473071135942e-005	1.000000e-002	-5.834071e-004
4.561066821135942e-005	1.000000e-002	-6.606452e-004
4.619660571135942e-005	1.000000e-002	-7.317514e-004
4.678254321135943e-005	1.000000e-002	-7.967255e-004
4.736848071135944e-005	1.000000e-002	-8.555676e-004
4.795441821135944e-005	1.000000e-002	-9.082778e-004
4.865754321135944e-005	1.000000e-002	-9.616739e-004
4.936066821135945e-005	1.000000e-002	-1.005168e-003
5.006379321135946e-005	1.000000e-002	-1.038759e-003
5.076691821135947e-005	1.000000e-002	-1.062449e-003
5.147004321135947e-005	1.000000e-002	-1.076236e-003
5.217316821135948e-005	1.000000e-002	-1.080120e-003
5.287629321135948e-005	1.000000e-002	-1.074103e-003
5.346223071135949e-005	1.000000e-002	-1.061588e-003
5.404816821135950e-005	1.000000e-002	-1.043556e-003
5.463410571135950e-005	1.000000e-002	-1.020006e-003
5.522004321135950e-005	1.000000e-002	-9.909380e-004
5.580598071135951e-005	1.000000e-002	-9.563524e-004
5.639191821135952e-005	1.000000e-002	-9.162491e-004
5.697785571135952e-005	1.000000e-002	-8.706279e-004
5.753449633635953e-005	1.000000e-002	-8.230766e-004
5.809113696135953e-005	1.000000e-002	-7.727250e-004
5.864777758635954e-005	1.000000e-002	-7.195730e-004
5.920441821135954e-005	1.000000e-002	-6.636207e-004
5.976105883635954e-005	1.000000e-002	-6.048680e-004
6.031769946135955e-005	1.000000e-002	-5.433149e-004
6.087434008635955e-005	1.000000e-002	-4.789615e-004
6.160676196135956e-005	1.000000e-002	-3.911336e-004
6.233918383635956e-005	1.000000e-002	-3.033849e-004
6.307160571135958e-005	1.000000e-002	-2.157154e-004
6.380402758635958e-005	1.000000e-002	-1.281251e-004
6.453644946135958e-005	1.000000e-002	-4.061407e-005
6.526887133635959e-005	1.000000e-002	4.681777e-005
6.600129321135959e-005	1.000000e-002	1.341704e-004
6.693879321135959e-005	1.000000e-002	2.420562e-004
6.787629321135961e-005	1.000000e-002	3.416116e-004
6.881379321135961e-005	1.000000e-002	4.328367e-004
6.975129321135963e-005	1.000000e-002	5.157315e-004
7.068879321135963e-005	1.000000e-002	5.902958e-004
7.162629321135965e-005	1.000000e-002	6.565298e-004
7.256379321135965e-005	1.000000e-002	7.144335e-004
7.332551196135965e-005	1.000000e-002	7.517492e-004
7.408723071135967e-005	1.000000e-002	7.817597e-004
7.484894946135967e-005	1.000000e-002	8.044647e-004
7.561066821135967e-005	1.000000e-002	8.198645e-004
7.637238696135969e-005	1.000000e-002	8.279589e-004
7.713410571135969e-005	1.000000e-002	8.287480e-004
7.789582446135970e-005	1.000000e-002	8.222318e-004
7.851105883635970e-005	1.000000e-002	8.116304e-004
7.912629321135971e-005	1.000000e-002	7.972569e-004
7.974152758635971e-005	1.000000e-002	7.791113e-004
8.035676196135972e-005	1.000000e-002	7.571937e-004
8.097199633635972e-005	1.000000e-002	7.315040e-004
8.158723071135973e-005	1.000000e-002	7.020422e-004
8.220246508635973e-005	1.000000e-002	6.688084e-004
8.281769946135974e-005	1.000000e-002	6.324694e-004
8.343293383635975e-005	1.000000e-002	5.942366e-004
8.404816821135975e-005	1.000000e-002	5.541100e-004
8.466340258635976e-005	1.000000e-002	5.120895e-004
8.527863696135976e-005	1.000000e-002	4.681752e-004
8.589387133635977e-005	1.000000e-002	4.223670e-004
8.650910571135977e-005	1.000000e-002	3.746650e-004
8.741730883635979e-005	1.000000e-002	3.017016e-004
8.832551196135979e-005	1.000000e-002	2.302722e-004
8.923371508635980e-005	1.000000e-002	1.603767e-004
9.014191821135980e-005	1.000000e-002	9.201519e-005
9.105012133635981e-005	1.000000e-002	2.518764e-005
9.195832446135983e-005	1.000000e-002	-4.010596e-005
9.286652758635983e-005	1.000000e-002	-1.038656e-004
9.380402758635983e-005	1.000000e-002	-1.639404e-004
9.474152758635985e-005	1.000000e-002	-2.175297e-004
9.567902758635985e-005	1.000000e-002	-2.646335e-004
9.661652758635987e-005	1.000000e-002	-3.052519e-004
9.755402758635987e-005	1.000000e-002	-3.393848e-004
9.849152758635988e-005	1.000000e-002	-3.670323e-004
9.942902758635989e-005	1.000000e-002	-3.881943e-004
1.001907463363599e-004	1.000000e-002	-3.990430e-004
1.009524650863599e-004	1.000000e-002	-4.053962e-004
1.017141838363599e-004	1.000000e-002	-4.072540e-004
1.024759025863599e-004	1.000000e-002	-4.046163e-004
1.032376213363599e-004	1.000000e-002	-3.974832e-004
