time,V(vin),V(vout)
0.00E+00,0.00E+00,1.81E-05
1.00E-14,1.00E-04,1.81E-05
2.00E-14,2.00E-04,1.81E-05
1.00E-12,1.00E-02,1.81E-05
1.01E-12,1.00E-02,1.81E-05
1.04E-12,1.00E-02,1.81E-05
4.94E-10,1.00E-02,2.70E-05
9.86E-10,1.00E-02,3.58E-05
1.48E-09,1.00E-02,4.46E-05
1.97E-09,1.00E-02,5.33E-05
2.46E-09,1.00E-02,6.19E-05
2.96E-09,1.00E-02,7.04E-05
3.45E-09,1.00E-02,7.89E-05
6.90E-09,1.00E-02,1.38E-04
1.22E-08,1.00E-02,2.27E-04
1.83E-08,1.00E-02,3.33E-04
2.54E-08,1.00E-02,4.62E-04
3.49E-08,1.00E-02,6.52E-04
4.71E-08,1.00E-02,9.26E-04
6.07E-08,1.00E-02,1.28E-03
7.67E-08,1.00E-02,1.74E-03
9.54E-08,1.00E-02,2.34E-03
1.18E-07,1.00E-02,3.12E-03
1.46E-07,1.00E-02,4.09E-03
1.80E-07,1.00E-02,5.22E-03
2.20E-07,1.00E-02,6.42E-03
2.76E-07,1.00E-02,7.72E-03
3.28E-07,1.00E-02,8.52E-03
3.95E-07,1.00E-02,9.00E-03
4.63E-07,1.00E-02,9.05E-03
5.30E-07,1.00E-02,8.82E-03
6.01E-07,1.00E-02,8.42E-03
6.83E-07,1.00E-02,7.96E-03
7.89E-07,1.00E-02,7.46E-03
9.10E-07,1.00E-02,7.05E-03
1.05E-06,1.00E-02,6.69E-03
1.21E-06,1.00E-02,6.34E-03
1.40E-06,1.00E-02,5.91E-03
1.71E-06,1.00E-02,5.20E-03
2.01E-06,1.00E-02,4.53E-03
2.56E-06,1.00E-02,3.38E-03
3.08E-06,1.00E-02,2.41E-03
4.05E-06,1.00E-02,8.25E-04
5.03E-06,1.00E-02,-4.93E-04
6.01E-06,1.00E-02,-1.52E-03
6.98E-06,1.00E-02,-2.28E-03
7.96E-06,1.00E-02,-2.79E-03
8.93E-06,1.00E-02,-3.10E-03
9.91E-06,1.00E-02,-3.22E-03
1.09E-05,1.00E-02,-3.18E-03
1.19E-05,1.00E-02,-3.02E-03
1.28E-05,1.00E-02,-2.76E-03
1.38E-05,1.00E-02,-2.43E-03
1.48E-05,1.00E-02,-2.05E-03
1.58E-05,1.00E-02,-1.63E-03
1.67E-05,1.00E-02,-1.20E-03
1.77E-05,1.00E-02,-7.64E-04
1.87E-05,1.00E-02,-3.44E-04
1.97E-05,1.00E-02,5.40E-05
2.07E-05,1.00E-02,4.22E-04
2.16E-05,1.00E-02,7.53E-04
2.26E-05,1.00E-02,1.04E-03
2.36E-05,1.00E-02,1.29E-03
2.46E-05,1.00E-02,1.49E-03
2.55E-05,1.00E-02,1.65E-03
2.65E-05,1.00E-02,1.76E-03
2.75E-05,1.00E-02,1.83E-03
2.85E-05,1.00E-02,1.86E-03
2.94E-05,1.00E-02,1.85E-03
3.04E-05,1.00E-02,1.81E-03
3.14E-05,1.00E-02,1.73E-03
3.24E-05,1.00E-02,1.63E-03
3.33E-05,1.00E-02,1.50E-03
3.43E-05,1.00E-02,1.35E-03
3.53E-05,1.00E-02,1.19E-03
3.63E-05,1.00E-02,1.01E-03
3.73E-05,1.00E-02,8.26E-04
3.82E-05,1.00E-02,6.35E-04
3.92E-05,1.00E-02,4.42E-04
4.02E-05,1.00E-02,2.51E-04
4.12E-05,1.00E-02,6.54E-05
4.21E-05,1.00E-02,-1.13E-04
4.31E-05,1.00E-02,-2.82E-04
4.41E-05,1.00E-02,-4.38E-04
4.51E-05,1.00E-02,-5.80E-04
4.60E-05,1.00E-02,-7.06E-04
4.70E-05,1.00E-02,-8.15E-04
4.80E-05,1.00E-02,-9.05E-04
4.90E-05,1.00E-02,-9.77E-04
