time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	1.812096e-005
9.999999824516700e-015	1.000000e-004	1.812096e-005
1.999999964903340e-014	2.000000e-004	1.812097e-005
1.000000000000000e-012	1.000000e-002	1.813002e-005
1.013157446213238e-012	1.000000e-002	1.813026e-005
1.039472338639713e-012	1.000000e-002	1.813074e-005
4.937670366726609e-010	1.000000e-002	2.700604e-005
9.864946010066821e-010	1.000000e-002	3.581823e-005
1.479222165340703e-009	1.000000e-002	4.456730e-005
1.971949729674725e-009	1.000000e-002	5.325327e-005
2.464677294008746e-009	1.000000e-002	6.187613e-005
2.957404858342767e-009	1.000000e-002	7.043588e-005
3.450132422676787e-009	1.000000e-002	7.893252e-005
6.899278002799788e-009	1.000000e-002	1.378654e-004
1.217219404104699e-008	1.000000e-002	2.271941e-004
1.830313836926675e-008	1.000000e-002	3.328015e-004
2.541186441603149e-008	1.000000e-002	4.621219e-004
3.492162294282871e-008	1.000000e-002	6.521756e-004
4.705748870143558e-008	1.000000e-002	9.258215e-004
6.067988676389657e-008	1.000000e-002	1.276013e-003
7.667439511635255e-008	1.000000e-002	1.740728e-003
9.538904088107194e-008	1.000000e-002	2.341157e-003
1.182466578704480e-007	1.000000e-002	3.124537e-003
1.457025574550042e-007	1.000000e-002	4.085298e-003
1.795335239215709e-007	1.000000e-002	5.223752e-003
2.201586924505512e-007	1.000000e-002	6.424887e-003
2.758462736424837e-007	1.000000e-002	7.719354e-003
3.284484735978658e-007	1.000000e-002	8.522727e-003
3.949094228634166e-007	1.000000e-002	8.999391e-003
4.634740576053748e-007	1.000000e-002	9.052391e-003
5.297819833155171e-007	1.000000e-002	8.817472e-003
6.012850377310357e-007	1.000000e-002	8.422415e-003
6.825442770311175e-007	1.000000e-002	7.962675e-003
7.889078277406044e-007	1.000000e-002	7.463343e-003
9.103161787108725e-007	1.000000e-002	7.048455e-003
1.052620666204518e-006	1.000000e-002	6.692307e-003
1.211098995747136e-006	1.000000e-002	6.341928e-003
1.401683836359396e-006	1.000000e-002	5.907690e-003
1.706921242468741e-006	1.000000e-002	5.195275e-003
2.005178258737283e-006	1.000000e-002	4.530083e-003
2.562369972816217e-006	1.000000e-002	3.376067e-003
3.075476588727425e-006	1.000000e-002	2.413681e-003
4.052039088727425e-006	1.000000e-002	8.252765e-004
5.028601588727425e-006	1.000000e-002	-4.925731e-004
6.005164088727425e-006	1.000000e-002	-1.519625e-003
6.981726588727425e-006	1.000000e-002	-2.278106e-003
7.958289088727424e-006	1.000000e-002	-2.794713e-003
8.934851588727425e-006	1.000000e-002	-3.098078e-003
9.911414088727426e-006	1.000000e-002	-3.217849e-003
1.088797658872743e-005	1.000000e-002	-3.183495e-003
1.186453908872743e-005	1.000000e-002	-3.023383e-003
1.284110158872743e-005	1.000000e-002	-2.764339e-003
1.381766408872743e-005	1.000000e-002	-2.431007e-003
1.479422658872743e-005	1.000000e-002	-2.045754e-003
1.577078908872743e-005	1.000000e-002	-1.628381e-003
1.674735158872743e-005	1.000000e-002	-1.196166e-003
1.772391408872743e-005	1.000000e-002	-7.638587e-004
1.870047658872743e-005	1.000000e-002	-3.437863e-004
1.967703908872744e-005	1.000000e-002	5.399306e-005
2.065360158872744e-005	1.000000e-002	4.215383e-004
2.163016408872744e-005	1.000000e-002	7.528150e-004
2.260672658872744e-005	1.000000e-002	1.043517e-003
2.358328908872744e-005	1.000000e-002	1.290852e-003
2.455985158872744e-005	1.000000e-002	1.493363e-003
2.553641408872744e-005	1.000000e-002	1.650735e-003
2.651297658872744e-005	1.000000e-002	1.763627e-003
2.748953908872744e-005	1.000000e-002	1.833512e-003
2.846610158872744e-005	1.000000e-002	1.862536e-003
2.944266408872744e-005	1.000000e-002	1.853385e-003
3.041922658872744e-005	1.000000e-002	1.809170e-003
3.139578908872745e-005	1.000000e-002	1.733322e-003
3.237235158872745e-005	1.000000e-002	1.629502e-003
3.334891408872745e-005	1.000000e-002	1.501523e-003
3.432547658872745e-005	1.000000e-002	1.353273e-003
3.530203908872745e-005	1.000000e-002	1.188656e-003
3.627860158872745e-005	1.000000e-002	1.011538e-003
3.725516408872745e-005	1.000000e-002	8.256965e-004
3.823172658872745e-005	1.000000e-002	6.347796e-004
3.920828908872745e-005	1.000000e-002	4.422677e-004
4.018485158872745e-005	1.000000e-002	2.514414e-004
4.116141408872745e-005	1.000000e-002	6.535338e-005
4.213797658872746e-005	1.000000e-002	-1.131957e-004
4.311453908872746e-005	1.000000e-002	-2.816775e-004
4.409110158872746e-005	1.000000e-002	-4.378528e-004
4.506766408872746e-005	1.000000e-002	-5.797839e-004
4.604422658872746e-005	1.000000e-002	-7.058444e-004
4.702078908872746e-005	1.000000e-002	-8.147241e-004
4.799735158872746e-005	1.000000e-002	-9.054315e-004
4.897391408872746e-005	1.000000e-002	-9.772917e-004
4.995047658872746e-005	1.000000e-002	-1.029942e-003
5.092703908872746e-005	1.000000e-002	-1.063321e-003
5.190360158872746e-005	1.000000e-002	-1.077660e-003
5.288016408872746e-005	1.000000e-002	-1.073465e-003
5.385672658872747e-005	1.000000e-002	-1.051501e-003
5.483328908872747e-005	1.000000e-002	-1.012766e-003
5.580985158872747e-005	1.000000e-002	-9.584755e-004
5.678641408872747e-005	1.000000e-002	-8.900297e-004
5.776297658872747e-005	1.000000e-002	-8.089907e-004
5.873953908872747e-005	1.000000e-002	-7.170522e-004
5.971610158872747e-005	1.000000e-002	-6.160106e-004
6.069266408872747e-005	1.000000e-002	-5.077348e-004
6.166922658872747e-005	1.000000e-002	-3.941363e-004
6.264578908872747e-005	1.000000e-002	-2.771390e-004
6.362235158872747e-005	1.000000e-002	-1.586508e-004
6.459891408872747e-005	1.000000e-002	-4.053562e-005
6.557547658872748e-005	1.000000e-002	7.541321e-005
6.655203908872748e-005	1.000000e-002	1.874971e-004
6.752860158872748e-005	1.000000e-002	2.941344e-004
6.850516408872748e-005	1.000000e-002	3.938807e-004
6.948172658872748e-005	1.000000e-002	4.854453e-004
7.045828908872748e-005	1.000000e-002	5.677058e-004
7.143485158872748e-005	1.000000e-002	6.397198e-004
7.241141408872748e-005	1.000000e-002	7.007323e-004
7.338797658872748e-005	1.000000e-002	7.501818e-004
7.436453908872748e-005	1.000000e-002	7.877017e-004
7.534110158872748e-005	1.000000e-002	8.131194e-004
7.631766408872749e-005	1.000000e-002	8.264530e-004
7.729422658872749e-005	1.000000e-002	8.279041e-004
7.827078908872749e-005	1.000000e-002	8.178488e-004
7.924735158872749e-005	1.000000e-002	7.968266e-004
8.022391408872749e-005	1.000000e-002	7.655259e-004
8.120047658872749e-005	1.000000e-002	7.247693e-004
8.217703908872749e-005	1.000000e-002	6.754964e-004
8.315360158872749e-005	1.000000e-002	6.187453e-004
8.413016408872749e-005	1.000000e-002	5.556339e-004
8.510672658872749e-005	1.000000e-002	4.873400e-004
8.608328908872749e-005	1.000000e-002	4.150812e-004
8.705985158872749e-005	1.000000e-002	3.400953e-004
8.803641408872750e-005	1.000000e-002	2.636202e-004
8.901297658872750e-005	1.000000e-002	1.868758e-004
8.998953908872750e-005	1.000000e-002	1.110451e-004
9.096610158872750e-005	1.000000e-002	3.725775e-005
9.194266408872750e-005	1.000000e-002	-3.342531e-005
9.291922658872750e-005	1.000000e-002	-1.000261e-004
9.389578908872750e-005	1.000000e-002	-1.616615e-004
9.487235158872750e-005	1.000000e-002	-2.175539e-004
9.584891408872750e-005	1.000000e-002	-2.670394e-004
9.682547658872750e-005	1.000000e-002	-3.095742e-004
9.780203908872750e-005	1.000000e-002	-3.447389e-004
9.877860158872751e-005	1.000000e-002	-3.722410e-004
9.975516408872751e-005	1.000000e-002	-3.919147e-004
1.007317265887275e-004	1.000000e-002	-4.037197e-004
1.017082890887275e-004	1.000000e-002	-4.077373e-004
1.026848515887275e-004	1.000000e-002	-4.041654e-004
1.036614140887275e-004	1.000000e-002	-3.933114e-004
1.056145390887275e-004	1.000000e-002	-3.514829e-004
1.065911015887275e-004	1.000000e-002	-3.215895e-004
1.075676640887275e-004	1.000000e-002	-2.865541e-004
1.085442265887275e-004	1.000000e-002	-2.470840e-004
1.095207890887275e-004	1.000000e-002	-2.039310e-004
1.104973515887275e-004	1.000000e-002	-1.578780e-004
1.114739140887275e-004	1.000000e-002	-1.097264e-004
1.124504765887275e-004	1.000000e-002	-6.028292e-005
1.134270390887275e-004	1.000000e-002	-1.034731e-005
1.144036015887275e-004	1.000000e-002	3.929984e-005
1.153801640887275e-004	1.000000e-002	8.790833e-005
1.163567265887275e-004	1.000000e-002	1.347688e-004
1.173332890887275e-004	1.000000e-002	1.792224e-004
1.183098515887275e-004	1.000000e-002	2.206687e-004
1.192864140887275e-004	1.000000e-002	2.585738e-004
1.202629765887275e-004	1.000000e-002	2.924752e-004
1.212395390887275e-004	1.000000e-002	3.219876e-004
1.222161015887275e-004	1.000000e-002	3.468052e-004
1.231926640887275e-004	1.000000e-002	3.667047e-004
1.241692265887275e-004	1.000000e-002	3.815452e-004
1.251457890887275e-004	1.000000e-002	3.912679e-004
1.261223515887275e-004	1.000000e-002	3.958945e-004
1.280754765887275e-004	1.000000e-002	3.903279e-004
1.300286015887275e-004	1.000000e-002	3.664830e-004
1.319817265887275e-004	1.000000e-002	3.269866e-004
1.339348515887275e-004	1.000000e-002	2.752317e-004
1.349114140887275e-004	1.000000e-002	2.459653e-004
1.358879765887275e-004	1.000000e-002	2.151245e-004
1.368645390887275e-004	1.000000e-002	1.832338e-004
1.378411015887275e-004	1.000000e-002	1.508161e-004
1.388176640887275e-004	1.000000e-002	1.183852e-004
1.397942265887275e-004	1.000000e-002	8.643787e-005
1.407707890887275e-004	1.000000e-002	5.544689e-005
1.417473515887275e-004	1.000000e-002	2.585476e-005
1.427239140887275e-004	1.000000e-002	-1.932194e-006
1.437004765887275e-004	1.000000e-002	-2.754881e-005
1.446770390887276e-004	1.000000e-002	-5.067529e-005
1.456536015887276e-004	1.000000e-002	-7.104059e-005
1.466301640887276e-004	1.000000e-002	-8.842496e-005
1.476067265887276e-004	1.000000e-002	-1.026616e-004
1.485832890887276e-004	1.000000e-002	-1.136373e-004
1.505364140887276e-004	1.000000e-002	-1.256214e-004
1.524895390887276e-004	1.000000e-002	-1.245247e-004
1.544426640887276e-004	1.000000e-002	-1.112694e-004
1.563957890887276e-004	1.000000e-002	-8.744643e-005
1.583489140887276e-004	1.000000e-002	-5.517628e-005
1.603020390887276e-004	1.000000e-002	-1.694707e-005
1.622551640887276e-004	1.000000e-002	2.455862e-005
1.632317265887276e-004	1.000000e-002	4.569155e-005
1.642082890887276e-004	1.000000e-002	6.663736e-005
1.651848515887276e-004	1.000000e-002	8.708170e-005
1.661614140887276e-004	1.000000e-002	1.067284e-004
1.671379765887276e-004	1.000000e-002	1.253033e-004
1.681145390887276e-004	1.000000e-002	1.425578e-004
1.690911015887276e-004	1.000000e-002	1.582718e-004
1.700676640887276e-004	1.000000e-002	1.722561e-004
1.720207890887276e-004	1.000000e-002	1.944439e-004
1.739739140887276e-004	1.000000e-002	2.082823e-004
1.759270390887276e-004	1.000000e-002	2.134884e-004
1.788567265887276e-004	1.000000e-002	2.057999e-004
1.817864140887276e-004	1.000000e-002	1.821955e-004
1.847161015887276e-004	1.000000e-002	1.473242e-004
1.866692265887276e-004	1.000000e-002	1.206079e-004
1.886223515887276e-004	1.000000e-002	9.317178e-005
1.905754765887276e-004	1.000000e-002	6.670829e-005
1.925286015887276e-004	1.000000e-002	4.274060e-005
1.944817265887276e-004	1.000000e-002	2.254250e-005
1.964348515887276e-004	1.000000e-002	7.078367e-006
1.983879765887276e-004	1.000000e-002	-3.034445e-006
2.013176640887276e-004	1.000000e-002	-7.707035e-006
2.024337355172990e-004	1.000000e-002	-5.862010e-006
2.035498069458705e-004	1.000000e-002	-2.743207e-006
2.046658783744419e-004	1.000000e-002	1.649374e-006
2.057819498030133e-004	1.000000e-002	7.315734e-006
2.068980212315848e-004	1.000000e-002	1.425587e-005
2.080140926601562e-004	1.000000e-002	2.246979e-005
2.091301640887276e-004	1.000000e-002	3.195748e-005
2.120598515887276e-004	1.000000e-002	5.801293e-005
2.140129765887276e-004	1.000000e-002	7.578237e-005
2.159661015887276e-004	1.000000e-002	9.260735e-005
2.179192265887276e-004	1.000000e-002	1.075408e-004
2.198723515887276e-004	1.000000e-002	1.198111e-004
2.228020390887276e-004	1.000000e-002	1.320577e-004
2.257317265887276e-004	1.000000e-002	1.361842e-004
2.269873069458705e-004	1.000000e-002	1.351185e-004
2.282428873030134e-004	1.000000e-002	1.330211e-004
2.294984676601562e-004	1.000000e-002	1.298922e-004
2.307540480172991e-004	1.000000e-002	1.257316e-004
2.320096283744419e-004	1.000000e-002	1.205395e-004
2.332652087315848e-004	1.000000e-002	1.143157e-004
2.345207890887276e-004	1.000000e-002	1.070603e-004
2.374504765887276e-004	1.000000e-002	8.987321e-005
2.403801640887276e-004	1.000000e-002	7.297000e-005
2.433098515887276e-004	1.000000e-002	5.855157e-005
2.462395390887276e-004	1.000000e-002	4.827866e-005
2.491692265887276e-004	1.000000e-002	4.310515e-005
2.507038248030133e-004	1.000000e-002	4.292902e-005
2.522384230172991e-004	1.000000e-002	4.378945e-005
2.537730212315848e-004	1.000000e-002	4.568643e-005
2.553076194458705e-004	1.000000e-002	4.861997e-005
2.568422176601563e-004	1.000000e-002	5.259007e-005
2.583768158744420e-004	1.000000e-002	5.759673e-005
2.599114140887277e-004	1.000000e-002	6.363994e-005
2.621435569458705e-004	1.000000e-002	7.335866e-005
2.643756998030134e-004	1.000000e-002	8.173320e-005
2.666078426601562e-004	1.000000e-002	8.876357e-005
2.688399855172991e-004	1.000000e-002	9.444976e-005
2.710721283744420e-004	1.000000e-002	9.879179e-005
2.733042712315848e-004	1.000000e-002	1.017896e-004
2.755364140887277e-004	1.000000e-002	1.034433e-004
2.773500301601562e-004	1.000000e-002	1.021486e-004
