time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	1.812096e-005
4.595703158305486e-012	3.681646e-009	1.812096e-005
9.191406316610973e-012	7.363292e-009	1.812096e-005
5.386164101534032e-009	4.314890e-006	1.814032e-005
1.076313679675145e-008	8.622414e-006	1.821702e-005
1.614010949196888e-008	1.292994e-005	1.835108e-005
2.151708218718629e-008	1.723746e-005	1.854248e-005
2.689405488240371e-008	2.154497e-005	1.879123e-005
3.227102757762114e-008	2.585249e-005	1.909733e-005
3.764800027283854e-008	3.016000e-005	1.946077e-005
7.529600054567709e-008	6.031972e-005	2.365776e-005
1.201206948409608e-007	9.622794e-005	3.309896e-005
1.806038686137085e-007	1.446778e-004	5.415080e-005
2.486952577491514e-007	1.992181e-004	8.811140e-005
3.328886586652332e-007	2.666475e-004	1.409822e-004
4.282304291950816e-007	3.429907e-004	2.077227e-004
5.530109372107808e-007	4.428755e-004	2.954137e-004
7.260045269582199e-007	5.812788e-004	4.076466e-004
9.754992258017415e-007	7.806832e-004	5.523505e-004
1.231341741288335e-006	9.848365e-004	6.838691e-004
1.690912053788335e-006	1.350461e-003	8.893211e-004
2.150482366288335e-006	1.714256e-003	1.060093e-003
2.610052678788335e-006	2.075727e-003	1.193064e-003
3.069622991288335e-006	2.434385e-003	1.290990e-003
3.529193303788334e-006	2.789743e-003	1.356311e-003
3.988763616288334e-006	3.141321e-003	1.391465e-003
4.448333928788334e-006	3.488641e-003	1.399036e-003
4.907904241288334e-006	3.831233e-003	1.381496e-003
5.367474553788334e-006	4.168632e-003	1.341312e-003
5.827044866288334e-006	4.500382e-003	1.280918e-003
6.286615178788333e-006	4.826033e-003	1.202667e-003
6.746185491288333e-006	5.145142e-003	1.108854e-003
7.205755803788333e-006	5.457279e-003	1.001691e-003
7.665326116288334e-006	5.762019e-003	8.832993e-004
8.124896428788334e-006	6.058950e-003	7.557054e-004
8.584466741288334e-006	6.347670e-003	6.208356e-004
9.044037053788333e-006	6.627786e-003	4.805111e-004
9.503607366288333e-006	6.898920e-003	3.364451e-004
9.963177678788333e-006	7.160703e-003	1.902411e-004
1.042274799128833e-005	7.412782e-003	4.339166e-005
1.088231830378833e-005	7.654814e-003	-1.027217e-004
1.134188861628833e-005	7.886472e-003	-2.468281e-004
1.180145892878833e-005	8.107441e-003	-3.877661e-004
1.226102924128833e-005	8.317422e-003	-5.244818e-004
1.272059955378833e-005	8.516131e-003	-6.560269e-004
1.318016986628833e-005	8.703297e-003	-7.815555e-004
1.363974017878833e-005	8.878669e-003	-9.003216e-004
1.409931049128833e-005	9.042006e-003	-1.011675e-003
1.455888080378833e-005	9.193090e-003	-1.115059e-003
1.501845111628833e-005	9.331713e-003	-1.210005e-003
1.547802142878833e-005	9.457690e-003	-1.296129e-003
1.593759174128833e-005	9.570848e-003	-1.373128e-003
1.639716205378834e-005	9.671035e-003	-1.440775e-003
1.685673236628834e-005	9.758116e-003	-1.498915e-003
1.731630267878834e-005	9.831971e-003	-1.547461e-003
1.777587299128834e-005	9.892500e-003	-1.586390e-003
1.823544330378834e-005	9.939623e-003	-1.615737e-003
1.869501361628834e-005	9.973274e-003	-1.635593e-003
1.915458392878835e-005	9.993408e-003	-1.646100e-003
1.961415424128835e-005	9.999999e-003	-1.647445e-003
2.007372455378835e-005	9.993036e-003	-1.639861e-003
2.053329486628835e-005	9.972530e-003	-1.623616e-003
2.145243549128835e-005	9.891016e-003	-1.566397e-003
2.237157611628836e-005	9.755900e-003	-1.478589e-003
2.329071674128836e-005	9.567913e-003	-1.363384e-003
2.420985736628836e-005	9.328074e-003	-1.224271e-003
2.558856830378837e-005	8.874011e-003	-9.788766e-004
2.650770892878837e-005	8.510826e-003	-7.963674e-004
2.742684955378837e-005	8.101517e-003	-6.032121e-004
2.834599017878838e-005	7.648304e-003	-4.031984e-004
2.926513080378838e-005	7.153641e-003	-2.000031e-004
3.018427142878838e-005	6.620211e-003	2.856109e-006
3.110341205378839e-005	6.050903e-003	2.020622e-004
3.202255267878839e-005	5.448803e-003	3.945334e-004
3.294169330378839e-005	4.817174e-003	5.774515e-004
3.386083392878839e-005	4.159439e-003	7.482857e-004
3.477997455378840e-005	3.479162e-003	9.048095e-004
3.569911517878840e-005	2.780031e-003	1.045114e-003
3.661825580378840e-005	2.065834e-003	1.167616e-003
3.753739642878841e-005	1.340441e-003	1.271061e-003
3.845653705378841e-005	6.077843e-004	1.354523e-003
3.937567767878841e-005	-1.281666e-004	1.417401e-003
4.029481830378842e-005	-8.634229e-004	1.459409e-003
4.121395892878842e-005	-1.594000e-003	1.480568e-003
4.259266986628842e-005	-2.672443e-003	1.473969e-003
4.397138080378843e-005	-3.718319e-003	1.423405e-003
4.535009174128843e-005	-4.718880e-003	1.332293e-003
4.672880267878844e-005	-5.661934e-003	1.205105e-003
4.810751361628844e-005	-6.535988e-003	1.047178e-003
4.948622455378845e-005	-7.330390e-003	8.645075e-004
5.086493549128845e-005	-8.035459e-003	6.635369e-004
5.224364642878846e-005	-8.642602e-003	4.509460e-004
5.362235736628846e-005	-9.144421e-003	2.334425e-004
5.500106830378847e-005	-9.534799e-003	1.756488e-005
5.637977924128847e-005	-9.808981e-003	-1.905000e-004
5.775849017878847e-005	-9.963624e-003	-3.850806e-004
5.913720111628848e-005	-9.996843e-003	-5.611609e-004
6.051591205378848e-005	-9.908234e-003	-7.144952e-004
6.189462299128848e-005	-9.698876e-003	-8.416948e-004
6.327333392878849e-005	-9.371323e-003	-9.402861e-004
6.465204486628849e-005	-8.929563e-003	-1.008738e-003
6.603075580378850e-005	-8.378982e-003	-1.046463e-003
6.740946674128850e-005	-7.726288e-003	-1.053786e-003
6.878817767878850e-005	-6.979438e-003	-1.031894e-003
7.016688861628851e-005	-6.147531e-003	-9.827566e-004
7.154559955378851e-005	-5.240706e-003	-9.090333e-004
7.292431049128852e-005	-4.270014e-003	-8.139593e-004
7.430302142878852e-005	-3.247286e-003	-7.012237e-004
7.522216205378853e-005	-2.542690e-003	-6.182268e-004
7.660087299128853e-005	-1.461174e-003	-4.850705e-004
7.797958392878854e-005	-3.618516e-004	-3.453077e-004
7.935829486628854e-005	7.418809e-004	-2.031634e-004
8.073700580378854e-005	1.836572e-003	-6.271088e-005
8.211571674128855e-005	2.908882e-003	7.224019e-005
8.349442767878855e-005	3.945742e-003	1.982423e-004
8.487313861628856e-005	4.934517e-003	3.122930e-004
8.625184955378856e-005	5.863157e-003	4.118996e-004
8.763056049128857e-005	6.720344e-003	4.951265e-004
8.900927142878857e-005	7.495632e-003	5.606223e-004
9.038798236628858e-005	8.179573e-003	6.076287e-004
9.176669330378858e-005	8.763834e-003	6.359707e-004
9.314540424128859e-005	9.241291e-003	6.460302e-004
9.452411517878859e-005	9.606129e-003	6.387033e-004
9.590282611628860e-005	9.853899e-003	6.153457e-004
9.728153705378860e-005	9.981585e-003	5.777054e-004
9.866024799128860e-005	9.987626e-003	5.278485e-004
1.000389589287886e-004	9.871953e-003	4.680781e-004
1.014176698662886e-004	9.635973e-003	4.008510e-004
1.027963808037886e-004	9.282563e-003	3.286937e-004
1.041750917412886e-004	8.816029e-003	2.541209e-004
1.055538026787886e-004	8.242058e-003	1.795586e-004
1.064729433037886e-004	7.803124e-003	1.309844e-004
1.073920839287886e-004	7.321903e-003	8.404697e-005
1.083112245537886e-004	6.801003e-003	3.931532e-005
1.096899354912886e-004	5.951482e-003	-2.254224e-005
