time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	1.812096e-005
2.285156222234241e-012	3.661305e-009	1.812096e-005
4.570312444468483e-012	7.322611e-009	1.812096e-005
2.678203092458532e-009	4.291051e-006	1.813326e-005
5.351835872472595e-009	8.574777e-006	1.817072e-005
8.025468652486659e-009	1.285850e-005	1.823331e-005
1.069910143250072e-008	1.714222e-005	1.832106e-005
1.337273421251478e-008	2.142594e-005	1.843396e-005
1.604636699252885e-008	2.570965e-005	1.857200e-005
1.871999977254291e-008	2.999337e-005	1.873519e-005
3.743999954508581e-008	5.998647e-005	2.068649e-005
7.082805432399149e-008	1.134791e-004	2.739054e-005
1.067206063961600e-007	1.709807e-004	4.089835e-005
1.644428649448900e-007	2.634419e-004	7.749009e-005
2.348162073590746e-007	3.761367e-004	1.431336e-004
3.174155445489906e-007	5.083479e-004	2.429481e-004
4.033656787434462e-007	6.458276e-004	3.616716e-004
5.228634995375319e-007	8.367588e-004	5.315015e-004
6.552118098062147e-007	1.047861e-003	7.092635e-004
8.387508874136899e-007	1.339816e-003	9.321717e-004
1.067266512413690e-006	1.701666e-003	1.182975e-003
1.295782137413690e-006	2.061236e-003	1.412156e-003
1.524297762413690e-006	2.418043e-003	1.620921e-003
1.752813387413690e-006	2.771608e-003	1.808204e-003
1.981329012413690e-006	3.121459e-003	1.973707e-003
2.209844637413690e-006	3.467126e-003	2.118158e-003
2.438360262413690e-006	3.808146e-003	2.242179e-003
2.666875887413689e-006	4.144061e-003	2.346182e-003
2.895391512413689e-006	4.474421e-003	2.430629e-003
3.123907137413689e-006	4.798785e-003	2.496067e-003
3.352422762413689e-006	5.116716e-003	2.543064e-003
3.580938387413689e-006	5.427789e-003	2.572195e-003
3.809454012413689e-006	5.731587e-003	2.584057e-003
4.037969637413688e-006	6.027703e-003	2.579269e-003
4.266485262413688e-006	6.315738e-003	2.558463e-003
4.495000887413688e-006	6.595309e-003	2.522289e-003
4.723516512413688e-006	6.866040e-003	2.471408e-003
4.952032137413688e-006	7.127567e-003	2.406494e-003
5.180547762413688e-006	7.379541e-003	2.328230e-003
5.409063387413687e-006	7.621624e-003	2.237306e-003
5.866094637413687e-006	8.074831e-003	2.020277e-003
6.094610262413687e-006	8.285348e-003	1.895581e-003
6.323125887413687e-006	8.484760e-003	1.761043e-003
6.551641512413687e-006	8.672799e-003	1.617372e-003
6.780157137413686e-006	8.849214e-003	1.465278e-003
7.237188387413686e-006	9.166238e-003	1.138651e-003
7.694219637413686e-006	9.434135e-003	7.867854e-004
8.151250887413685e-006	9.651467e-003	4.152226e-004
8.608282137413685e-006	9.817071e-003	2.938687e-005
9.065313387413685e-006	9.930059e-003	-3.654459e-004
9.522344637413684e-006	9.989825e-003	-7.641778e-004
9.750860262413684e-006	9.999638e-003	-9.634679e-004
1.020789151241368e-005	9.979061e-003	-1.358943e-003
1.043640713741368e-005	9.948697e-003	-1.553991e-003
1.089343838741368e-005	9.848024e-003	-1.935991e-003
1.135046963741368e-005	9.694569e-003	-2.303765e-003
1.180750088741368e-005	9.489154e-003	-2.653452e-003
1.226453213741368e-005	9.232880e-003	-2.981486e-003
1.272156338741368e-005	8.927121e-003	-3.284616e-003
1.317859463741368e-005	8.573515e-003	-3.559908e-003
1.340711026241368e-005	8.379353e-003	-3.686288e-003
1.363562588741368e-005	8.173958e-003	-3.804758e-003
1.386414151241368e-005	7.957608e-003	-3.915045e-003
1.409265713741368e-005	7.730593e-003	-4.016896e-003
1.432117276241368e-005	7.493215e-003	-4.110080e-003
1.477820401241368e-005	6.988659e-003	-4.269627e-003
1.523523526241368e-005	6.446647e-003	-4.392261e-003
1.569226651241368e-005	5.870083e-003	-4.476889e-003
1.614929776241369e-005	5.262057e-003	-4.522756e-003
1.660632901241369e-005	4.625828e-003	-4.529432e-003
1.706336026241369e-005	3.964807e-003	-4.496813e-003
1.729187588741369e-005	3.626101e-003	-4.465819e-003
1.752039151241369e-005	3.282535e-003	-4.425104e-003
1.774890713741370e-005	2.934569e-003	-4.374740e-003
1.797742276241370e-005	2.582670e-003	-4.314818e-003
1.820593838741370e-005	2.227309e-003	-4.245449e-003
1.843445401241370e-005	1.868963e-003	-4.166760e-003
1.866296963741370e-005	1.508112e-003	-4.078895e-003
1.889148526241370e-005	1.145239e-003	-3.982015e-003
1.912000088741371e-005	7.808312e-004	-3.876298e-003
1.957703213741371e-005	4.936556e-005	-3.639140e-003
2.026257901241371e-005	-1.047103e-003	-3.222440e-003
2.094812588741372e-005	-2.130951e-003	-2.738691e-003
2.163367276241372e-005	-3.189116e-003	-2.195692e-003
2.231921963741373e-005	-4.208844e-003	-1.602129e-003
2.300476651241373e-005	-5.177845e-003	-9.674288e-004
2.369031338741374e-005	-6.084440e-003	-3.016051e-004
2.437586026241374e-005	-6.917702e-003	3.848967e-004
2.506140713741375e-005	-7.667588e-003	1.081357e-003
2.574695401241375e-005	-8.325061e-003	1.776937e-003
2.643250088741375e-005	-8.882195e-003	2.460838e-003
2.688953213741376e-005	-9.194506e-003	2.905032e-003
2.734656338741376e-005	-9.457539e-003	3.336247e-003
2.780359463741376e-005	-9.669881e-003	3.751503e-003
2.848914151241377e-005	-9.890939e-003	4.338203e-003
2.917468838741377e-005	-9.992787e-003	4.873365e-003
2.963171963741378e-005	-9.993791e-003	5.197302e-003
3.008875088741378e-005	-9.941231e-003	5.492261e-003
3.054578213741378e-005	-9.835390e-003	5.756124e-003
3.123132901241378e-005	-9.578045e-003	6.089455e-003
3.191687588741377e-005	-9.205258e-003	6.342906e-003
3.260242276241377e-005	-8.721526e-003	6.511953e-003
3.328796963741376e-005	-8.132678e-003	6.593235e-003
3.374500088741376e-005	-7.685169e-003	6.597549e-003
3.420203213741375e-005	-7.196470e-003	6.561538e-003
3.465906338741375e-005	-6.669201e-003	6.485112e-003
3.511609463741374e-005	-6.106187e-003	6.368428e-003
3.557312588741374e-005	-5.510446e-003	6.211886e-003
3.625867276241374e-005	-4.562499e-003	5.903815e-003
3.694421963741373e-005	-3.559563e-003	5.510746e-003
3.762976651241372e-005	-2.513725e-003	5.037017e-003
3.831531338741372e-005	-1.437590e-003	4.488080e-003
3.900086026241371e-005	-3.441289e-004	3.870425e-003
3.968640713741371e-005	7.534800e-004	3.191498e-003
4.037195401241370e-005	1.842008e-003	2.459605e-003
4.105750088741370e-005	2.908334e-003	1.683808e-003
4.174304776241369e-005	3.939608e-003	8.738069e-004
4.242859463741369e-005	4.923400e-003	3.981505e-005
4.311414151241368e-005	5.847852e-003	-8.075691e-004
4.379968838741367e-005	6.701823e-003	-1.657499e-003
4.448523526241367e-005	7.475021e-003	-2.499019e-003
4.517078213741366e-005	8.158125e-003	-3.321201e-003
4.585632901241366e-005	8.742903e-003	-4.113292e-003
4.654187588741365e-005	9.222308e-003	-4.864845e-003
4.722742276241365e-005	9.590561e-003	-5.565855e-003
4.791296963741364e-005	9.843223e-003	-6.206891e-003
4.859851651241364e-005	9.977249e-003	-6.779217e-003
4.928406338741363e-005	9.991025e-003	-7.274902e-003
4.996961026241362e-005	9.884384e-003	-7.686930e-003
5.065515713741362e-005	9.658610e-003	-8.009288e-003
5.134070401241361e-005	9.316427e-003	-8.237047e-003
5.202625088741361e-005	8.861956e-003	-8.366434e-003
5.271179776241360e-005	8.300677e-003	-8.394877e-003
5.339734463741360e-005	7.639355e-003	-8.321049e-003
5.408289151241359e-005	6.885958e-003	-8.144886e-003
5.453992276241359e-005	6.336983e-003	-7.971138e-003
5.499695401241358e-005	5.754045e-003	-7.753090e-003
5.545398526241358e-005	5.140266e-003	-7.491662e-003
5.613953213741357e-005	4.169011e-003	-7.020787e-003
5.682507901241357e-005	3.147509e-003	-6.459886e-003
5.751062588741356e-005	2.088071e-003	-5.815015e-003
5.819617276241356e-005	1.003467e-003	-5.093304e-003
5.888171963741355e-005	-9.323174e-005	-4.302877e-003
5.956726651241355e-005	-1.188807e-003	-3.452754e-003
6.025281338741354e-005	-2.270053e-003	-2.552743e-003
6.093836026241353e-005	-3.323940e-003	-1.613329e-003
6.162390713741353e-005	-4.337765e-003	-6.455431e-004
6.230945401241352e-005	-5.299309e-003	3.391684e-004
6.299500088741352e-005	-6.196983e-003	1.329081e-003
6.368054776241351e-005	-7.019968e-003	2.312337e-003
6.436609463741351e-005	-7.758345e-003	3.277085e-003
6.505164151241350e-005	-8.403214e-003	4.211629e-003
6.573718838741350e-005	-8.946802e-003	5.104568e-003
6.642273526241349e-005	-9.382560e-003	5.944941e-003
6.710828213741348e-005	-9.705234e-003	6.722356e-003
6.779382901241348e-005	-9.910936e-003	7.427123e-003
6.847937588741347e-005	-9.997186e-003	8.050374e-003
6.916492276241347e-005	-9.962944e-003	8.584171e-003
6.985046963741346e-005	-9.808624e-003	9.021611e-003
7.053601651241346e-005	-9.536086e-003	9.356909e-003
7.122156338741345e-005	-9.148614e-003	9.585479e-003
7.190711026241345e-005	-8.650878e-003	9.703986e-003
7.259265713741344e-005	-8.048876e-003	9.710398e-003
7.327820401241343e-005	-7.349866e-003	9.604010e-003
7.396375088741343e-005	-6.562272e-003	9.385465e-003
7.464929776241342e-005	-5.695585e-003	9.056745e-003
7.533484463741342e-005	-4.760253e-003	8.621154e-003
7.602039151241341e-005	-3.767547e-003	8.083287e-003
7.670593838741341e-005	-2.729433e-003	7.448974e-003
7.739148526241340e-005	-1.658422e-003	6.725217e-003
7.807703213741340e-005	-5.674236e-004	5.920113e-003
7.876257901241339e-005	5.304141e-004	5.042756e-003
7.944812588741338e-005	1.621859e-003	4.103133e-003
8.013367276241338e-005	2.693756e-003	3.112011e-003
8.081921963741337e-005	3.733187e-003	2.080806e-003
8.150476651241337e-005	4.727623e-003	1.021452e-003
8.219031338741336e-005	5.665080e-003	-5.374265e-005
8.287586026241336e-005	6.534258e-003	-1.132237e-003
8.356140713741335e-005	7.324683e-003	-2.201410e-003
8.424695401241335e-005	8.026825e-003	-3.248709e-003
8.493250088741334e-005	8.632225e-003	-4.261802e-003
8.561804776241333e-005	9.133585e-003	-5.228721e-003
8.630359463741333e-005	9.524862e-003	-6.138007e-003
8.698914151241332e-005	9.801340e-003	-6.978851e-003
8.767468838741332e-005	9.959688e-003	-7.741220e-003
8.836023526241331e-005	9.997997e-003	-8.415979e-003
8.904578213741331e-005	9.915804e-003	-8.995007e-003
8.973132901241330e-005	9.714101e-003	-9.471286e-003
9.041687588741330e-005	9.395318e-003	-9.838996e-003
9.110242276241329e-005	8.963298e-003	-1.009358e-002
9.178796963741328e-005	8.423248e-003	-1.023181e-002
9.247351651241328e-005	7.781677e-003	-1.025182e-002
9.315906338741327e-005	7.046317e-003	-1.015313e-002
9.384461026241327e-005	6.226031e-003	-9.936656e-003
9.453015713741326e-005	5.330706e-003	-9.604712e-003
9.521570401241326e-005	4.371132e-003	-9.160971e-003
9.590125088741325e-005	3.358875e-003	-8.610429e-003
9.658679776241325e-005	2.306135e-003	-7.959349e-003
9.727234463741324e-005	1.225601e-003	-7.215191e-003
9.795789151241323e-005	1.302949e-004	-6.386517e-003
9.864343838741323e-005	-9.665816e-004	-5.482903e-003
9.932898526241322e-005	-2.051808e-003	-4.514816e-003
1.000145321374132e-004	-3.112305e-003	-3.493499e-003
1.007000790124132e-004	-4.135292e-003	-2.430835e-003
1.013856258874132e-004	-5.108437e-003	-1.339209e-003
1.020711727624132e-004	-6.020013e-003	-2.313578e-004
1.027567196374132e-004	-6.859033e-003	8.797737e-004
1.034422665124132e-004	-7.615384e-003	1.981192e-003
1.041278133874132e-004	-8.279950e-003	3.060004e-003
1.048133602624132e-004	-8.844723e-003	4.103574e-003
1.054989071374132e-004	-9.302894e-003	5.099670e-003
1.061844540124132e-004	-9.648941e-003	6.036613e-003
1.068700008874132e-004	-9.878695e-003	6.903411e-003
1.075555477624132e-004	-9.989386e-003	7.689893e-003
1.082410946374132e-004	-9.979679e-003	8.386828e-003
1.089266415124131e-004	-9.849693e-003	8.986039e-003
1.096121883874131e-004	-9.600992e-003	9.480496e-003
1.102977352624131e-004	-9.236576e-003	9.864400e-003
1.109832821374131e-004	-8.760835e-003	1.013326e-002
1.116688290124131e-004	-8.179504e-003	1.028393e-002
1.123543758874131e-004	-7.499591e-003	1.031467e-002
1.130399227624131e-004	-6.729287e-003	1.022515e-002
1.137254696374131e-004	-5.877879e-003	1.001645e-002
1.144110165124131e-004	-4.955628e-003	9.691074e-003
1.150965633874131e-004	-3.973649e-003	9.252896e-003
1.157821102624131e-004	-2.943777e-003	8.707117e-003
1.164676571374131e-004	-1.878426e-003	8.060215e-003
1.171532040124131e-004	-7.904348e-004	7.319859e-003
