time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	1.812096e-005
3.085937321650745e-012	3.708245e-009	1.812096e-005
6.171874643301489e-012	7.416490e-009	1.812096e-005
3.616718540974674e-009	4.346064e-006	1.813653e-005
7.227265207306046e-009	8.684710e-006	1.818778e-005
1.083781187363742e-008	1.302335e-005	1.827470e-005
1.444835853996879e-008	1.736199e-005	1.839730e-005
1.805890520630016e-008	2.170063e-005	1.855558e-005
2.166945187263154e-008	2.603926e-005	1.874952e-005
2.527999853896290e-008	3.037790e-005	1.897915e-005
5.055999707792580e-008	6.075551e-005	2.167323e-005
8.797887107354669e-008	1.057187e-004	2.939561e-005
1.338991354029895e-007	1.608942e-004	4.640063e-005
1.973173057340036e-007	2.370859e-004	8.353507e-005
2.729903718199804e-007	3.279826e-004	1.446987e-004
3.610399493546769e-007	4.337109e-004	2.313263e-004
4.657667981632346e-007	5.594008e-004	3.425764e-004
6.017820336515347e-007	7.225068e-004	4.838237e-004
7.680433109693788e-007	9.216166e-004	6.412301e-004
1.020710189575852e-006	1.223473e-003	8.549367e-004
1.296131740031015e-006	1.551219e-003	1.064609e-003
1.604725490031015e-006	1.916405e-003	1.274181e-003
1.913319240031015e-006	2.278955e-003	1.456678e-003
2.221912990031015e-006	2.638372e-003	1.611446e-003
2.530506740031015e-006	2.994162e-003	1.739881e-003
2.839100490031015e-006	3.345834e-003	1.843062e-003
3.147694240031014e-006	3.692906e-003	1.921910e-003
3.456287990031014e-006	4.034901e-003	1.977532e-003
3.764881740031014e-006	4.371348e-003	2.011058e-003
4.073475490031014e-006	4.701784e-003	2.023601e-003
4.382069240031014e-006	5.025756e-003	2.016298e-003
4.690662990031015e-006	5.342817e-003	1.990307e-003
4.999256740031015e-006	5.652533e-003	1.946784e-003
5.307850490031015e-006	5.954477e-003	1.886887e-003
5.616444240031016e-006	6.248233e-003	1.811775e-003
5.925037990031016e-006	6.533398e-003	1.722600e-003
6.233631740031016e-006	6.809581e-003	1.620504e-003
6.542225490031016e-006	7.076400e-003	1.506621e-003
6.850819240031017e-006	7.333490e-003	1.382065e-003
7.159412990031017e-006	7.580496e-003	1.247937e-003
7.468006740031017e-006	7.817080e-003	1.105315e-003
7.776600490031018e-006	8.042916e-003	9.552572e-004
8.085194240031018e-006	8.257693e-003	7.987967e-004
8.393787990031018e-006	8.461116e-003	6.369404e-004
8.702381740031019e-006	8.652905e-003	4.706678e-004
9.010975490031019e-006	8.832797e-003	3.009294e-004
9.628162990031019e-006	9.155917e-003	-4.529684e-005
1.024535049003102e-005	9.428699e-003	-3.947647e-004
1.086253799003102e-005	9.649642e-003	-7.410356e-004
1.147972549003102e-005	9.817532e-003	-1.078228e-003
1.209691299003102e-005	9.931447e-003	-1.401032e-003
1.240550674003102e-005	9.967956e-003	-1.555536e-003
1.271410049003102e-005	9.990758e-003	-1.704714e-003
1.333128799003102e-005	9.995143e-003	-1.985122e-003
1.394847549003102e-005	9.944574e-003	-2.238675e-003
1.456566299003102e-005	9.839331e-003	-2.462360e-003
1.518285049003103e-005	9.679992e-003	-2.653713e-003
1.580003799003102e-005	9.467433e-003	-2.810808e-003
1.641722549003102e-005	9.202824e-003	-2.932230e-003
1.672581924003103e-005	9.051444e-003	-2.979258e-003
1.703441299003103e-005	8.887618e-003	-3.017059e-003
